org_name,type,website,contact_email,source
Aramingo Shopping District,BID,aramingoba.org,rsanchez@impactservices.org,OpenDataPhilly
Center City District,BID,centercityphila.org,info@centercityphila.org,OpenDataPhilly
Chestnut Hill Business Improvement District,BID,chestnuthillpa.com,koneill@chestnuthillpa.com,OpenDataPhilly
City Avenue Special Services District,BID,cityave.org,bryanf@cityave.org,OpenDataPhilly
East Passyunk Business Improvement District,BID,visiteastpassyunk.com,director@visiteastpassyunk.com,OpenDataPhilly
Fishtown Kensington Area Business Improvement District,BID,fishtowndistrict.com,marc@fishtownbid.org,OpenDataPhilly
Manayunk Special Services District,BID,manayunk.com,info@manayunk.org,OpenDataPhilly
Mayfair Business Improvement District,BID,mayfairphilly.com,donny@mayfairbid.org,OpenDataPhilly
Mt. Airy Business Improvement District,BID,mtairybid.com,info@mtairybid.com,OpenDataPhilly
North Broad Business Improvement District,BID,northbroad.org,info@northbroad.org,OpenDataPhilly
Northern Liberties Business Improvement District,BID,explorenorthernliberties.org,info@explorenorthernliberties.org,OpenDataPhilly
Old City District,BID,oldcitydistrict.org,brett.mapp@oldcitydistrict.org,OpenDataPhilly
Port Richmond Industrial Development Enterprise,BID,facebook.com/PRIDE19134,stevej@manufacturingonline.org,OpenDataPhilly
Roxborough Development Corporation,BID,roxboroughpa.com,charrisse@roxboroughpa.com,OpenDataPhilly
South Street Headhouse District,BID,southstreet.com,eleanor@southstreet.com,OpenDataPhilly
Sports Complex Special Services District,BID,scssd.org,sjalosinski@scssd.org,OpenDataPhilly
University City District,BID,ucityphila.org,natenate@universitycity.org,OpenDataPhilly
