org_name,type,source,notes,archive_collection,address
African Cultural Alliance of North America,CDC,Ben roster,,,"5530 Chester Ave, Philadelphia, PA 19143"
Arab-American CDC,CDC,Ben roster,,,"1501 Germantown Ave, Philadelphia, PA 19122"
Asociación Puertorriqueños en Marcha (APM),CDC,Ben roster,,,"1900 N. 9th Street, Suite 102 Philadelphia"
Beech Interplex,CDC,Ben roster,,,"510 Cecil B. Moore Avenue, Suite 300, Philadelphia, PA 19121"
Called To Serve CDC,CDC,Ben roster,,,"3600 N. Broad Street, Philadelphia, PA 19140"
Catholic Housing and Community Services,CDC,Ben roster,,,"1601 Cherry Street, Suite 1100, Philadelphia, PA 19102"
Centennial Parkside CDC,CDC,Ben roster,,,"3479 West Girard Avenue, Philadelphia"
Chestnut Hill CDC,CDC,Ben roster,,,"10 E. Springfield Avenue, 19118"
Community of Compassion CDC,CDC,Ben roster,,,6150 Cedar Avenue in Philadelphia
Community Ventures,CDC,Ben roster,,,"1501 Cherry Street, Philadelphia, PA 19102-1403"
East Falls Development Corporation,CDC,Ben roster,,,"3580 Indian Queen Lane, Philadelphia, PA 19129"
Empowered CDC,CDC,Ben roster,,,"5437 Baltimore Ave, Philadelphia, PA, United States, 19143"
Esperanza,CDC,Ben roster,,,"4261 North 5th Street, Philadelphia, PA 19140"
Frankford CDC,CDC,Ben roster,,,"Daral Building 4667-69 Paul Street, 2nd Floor Philadelphia, PA 19124"
Germantown Restoration CDC,CDC,Ben roster,,,"5539 Germantown Ave, Philadelphia, PA, United States, 19144"
Germantown United CDC,CDC,Ben roster,,,"5320 Germantown Avenue Philadelphia, Pennsylvania 19144 USA"
Habitat for Humanity Philadelphia,CDC,Ben roster,,,"1829 N 19th St, Philadelphia, PA 19121"
HACE,CDC,Ben roster,,,47 N. 5th Street in North Philadelphia
HELP Development Corporation,CDC,Ben roster,,,115 E. 13th St.
Heritage CDC,CDC,Ben roster,,,"1933 N 23rd Street, Philadelphia, PA 19121"
HMC Squared Community Association,CDC,Ben roster,,,"1536 N 59th Street, Philadelphia, PA 19151"
HopePHL,CDC,Ben roster,,,"325 N. 39th Street, Philadelphia"
Housing Enrichment Renaissance Board CDC,CDC,Ben roster,,,
HumanGood East,CDC,Ben roster,,,"1900 Huntington Drive Duarte, CA 91010"
ICPIC New Africa Center CDC,CDC,Ben roster,,,"4243 Lancaster Avenue, Philadelphia, PA 19104"
Impact Services Corporation,CDC,Ben roster,,,"1952 E. Allegheny Avenue, Philadelphia, PA 19134"
Inglis Housing Corporation,CDC,Ben roster,,,"2600 Belmont Avenue, Philadelphia, PA 19131"
Korean Community Development Services Center,CDC,Ben roster,,,"6055 North 5th Street, Philadelphia"
Lancaster Avenue 21st Century Business Association CDC (LA21),CDC,Ben roster,,,"3500 Lancaster Avenue, Philadelphia, PA 19104"
Lower North Philadelphia CDC,CDC,Ben roster,,,"2206 Ridge Avenue, Philadelphia, PA 19121"
Mission First Housing Group,CDC,Ben roster,,,"48 Arch Street, 2nd Floor Philadelphia"
Mt. Airy CDC,CDC,Ben roster,,,7100 Germantown Ave
Mt. Vernon Manor CDC,CDC,Ben roster,,,"3311 Wallace Street, Suite B, Philadelphia, PA 19104"
New Kensington CDC,CDC,Ben roster,,,17 Frankford Ave
Newbold CDC,CDC,Ben roster,,,"1437 West Passyunk Avenue, Philadelphia, PA 19145"
NewCourtland,CDC,Ben roster,,,"6970 Germantown Avenue, Philadelphia, PA 19119"
Nicetown CDC,CDC,Ben roster,,,4414 Germantown Ave. 3rd Floor – Suite A Philadelphia
Northwest CLT Corporation,CDC,Ben roster,,,"45 E. Penn Street A-2, Philadelphia, PA 19144-2346"
Ogontz Ave Revitalization Corporation,CDC,Ben roster,,,"2502 W. Cheltenham Avenue Philadelphia, PA 19150"
Old City District,CDC,Ben roster,,,"231 Market Street, Philadelphia"
Olney Community Collaborative,CDC,Ben roster,,,5458 N. 5th Street
Overbrook West Neighbors CDC,CDC,Ben roster,,,"6361 Lancaster Ave, Philadelphia, PA 19151"
Oxford Circle Christian Community Development Association (OCCCDA),CDC,Ben roster,,,900 E Howell Street – Building B Philadelphia
Park to Broad Arts & Business District,CDC,Ben roster,,,"2914 W Girard Avenue, Philadelphia, PA 19130"
Partnership CDC,CDC,Ben roster,,,"4020 Market Street, Philadelphia, PA 19104"
Passyunk Area Revitalization Corporation,CDC,Ben roster,,,"1134 Titan St, Philadelphia, PA 19147"
Philadelphia Chinatown Development Corporation,CDC,Ben roster,,,"301 N 9th St, Philadelphia, PA 19107"
ProjectHOME,CDC,Ben roster,,,"1515 Fairmount Ave, Philadelphia, PA 19130"
SEAMAAC,CDC,Ben roster,,,1711 S Broad Street Philadelphia
Sister Clara Muhammad CDC,CDC,Ben roster,,,"4700 Wyalusing Avenue, Philadelphia"
Smart Futures CDC,CDC,Ben roster,,,
South Kensington Community Partners,CDC,Ben roster,,,"1301 N 2nd St, Philadelphia, PA 19122"
South Street Headhouse District,CDC,Ben roster,,,407 South Street
Southwest CDC,CDC,Ben roster,,,"6328 Paschall Ave. Philadelphia, PA 19142"
Tacony CDC,CDC,Ben roster,,,"4823 Longshore Ave, #101, Philadelphia, PA 19135"
The Enterprise Center CDC,CDC,Ben roster,,,"4548 Market Street, Philadelphia, PA 19139"
The Maple Corporation,CDC,Ben roster,,,"1617 John F Kennedy Blvd Ste 1560, Philadelphia, PA 19103"
Tioga United,CDC,Ben roster,,,"1515 Arch St. 13th Floor Philadelphia, PA 19102"
Women's Community Revitalization Project (WCRP),CDC,Ben roster,,,"100 West Oxford Street, E-2300, Philadelphia, PA 19122 tel: 215.627.5550"
Wynnefield Overbrook Revitalization Corporation,CDC,Ben roster,,,"5600 City Ave, Philadelphia, PA 19131"
Xiente,CDC,Ben roster,,,"174 Diamond Street, Philadelphia, PA 19122"
ACHIEVEability,CDC,City CDC program,,,"5901 Market Street, Suite 410, Philadelphia, PA 19139"
Fairmount CDC,CDC,City CDC program,"Per Ben's research, this org's activity continued as Park to Broad Arts & Business District (already tracked separately on this roster).",,"2837 W Girard Ave, Philadelphia, PA 19130"
Francisville Neighborhood Development Corporation,CDC,City CDC program,,,"1608 Ridge Avenue, Philadelphia, PA 19130, (215) 282-3010 Office"
Manayunk Development Corporation,CDC,City CDC program,,,"106 Grape Street,, Philadelphia, PA 19127"
Mayfair CDC,CDC,City CDC program,,,"2990 St. Vincent Street, Philadelphia, PA 19149"
South of South Neighborhood Association,CDC,City CDC program,,,"1901 Christian St, Philadelphia, PA 19146"
Spring Garden CDC,CDC,City CDC program,,,"601 North 17th Street, Philadelphia, Pennsylvania 19130, United States"
Allegheny West Foundation,CDC,City CDC program,,,4527 N. Broad Street
Village of Arts and Humanities,CDC,City CDC program,,,"2544 Germantown Ave. Philadelphia, PA 19133"
Advocate Community Development Corporation,CDC,Temple archives,"PACDC member CDC, active 2000-2004 per PACDC's own records (Temple University Special Collections Research Center).",PACDC Records (SCRC 241),"1808 W Diamond St, Philadelphia, PA 19121"
Calvary CDC,CDC,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),
Faith CDC,CDC,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"108 E Price St, Philadelphia, PA 19144"
Frankford United Neighbors CDC,CDC,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),
Greater Germantown Housing Development Corporation,CDC,Temple archives,"Active by 1976, succeeding Central Germantown Community Development Corporation; ran housing rehab and homeowner technical-assistance programs into the early 1990s. 455-page records collection at Temple's Special Collections Research Center.",Germantown Settlement Records (KER0314221),"5538 Wayne Ave Ste C, Philadelphia, PA 19144"
Hunting Park Community Development Corporation,CDC,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"3961 N 9th Street, Philadelphia, PA 19129"
Jefferson Manor Community Development Corporation,CDC,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),
Mt. Airy Village Development Corporation,CDC,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"6703 Germantown Ave, Suite 200, Philadelphia, PA 19119"
People's Emergency Center CDC,CDC,Temple archives,"PACDC member CDC with retail-analysis and general records, 2002-2007, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"325 N 39th Street, Philadelphia, PA 19104"
Sheridan Community Development Corporation,CDC,Temple archives,"PACDC yearbook member CDC, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),
West Oak Lane CDC,CDC,Temple archives,"PACDC member CDC; wrote a neighborhood commercial-corridor plan in 1995, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"7300-02 Ogontz Ave, Philadelphia, PA 19138"
Brewerytown CDC,CDC,Temple archives,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"3000 W Master Street, Philadelphia, PA 19121"
Hawthorne Community Development Corporation,CDC,Temple archives,"Wrote a neighborhood plan in 1995, per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"712 S 12th St, Philadelphia, PA 19147"
Roxborough Development Corporation,CDC,Temple archives,"PACDC member CDC, active as of 2005 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"6120 Ridge Avenue, Philadelphia, PA 19128"
Sunrise CDC,CDC,Temple archives,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"4244 Old York Rd, Philadelphia, PA 19140"
Yorktown CDC,CDC,Temple archives,"PACDC member CDC, active as of 2006 per Temple University Special Collections Research Center PACDC records.",PACDC Records (SCRC 241),"1300 W. Jefferson St, Philadelphia, PA 19122"
Tenth Memorial Non-Profit Development Corporation,CDC,Temple archives,"Faith-based CDC tied to Tenth Memorial Baptist Church; PACDC correspondence lists it as a non-member org, 1993-1994.",PACDC Records (SCRC 241),"1999 Ridge Ave, Philadelphia, PA 19121"
Logan Community Development Corporation,CDC,Temple archives,"Named in the Regional Council of Neighborhood Organizations (RCNO) records, 1986.",Regional Council of Neighborhood Organizations Records (Acc 658 et al.),"4542 N 11th St, Philadelphia, PA 19140"
Southwest Germantown CDC,CDC,Temple archives,"Named in the Regional Council of Neighborhood Organizations (RCNO) records, 1986.",Regional Council of Neighborhood Organizations Records (Acc 658 et al.),"5004 Wayne Ave, Philadelphia, PA 19144"
East of Broad Community Development Corporation,CDC,Temple archives,Named in the Kensington Action Now records at Temple's Special Collections Research Center.,Kensington Action Now Records (Acc 705),
South Philadelphia Community Development Corporation,CDC,Temple archives,"Named in the West Philadelphia Corporation records, active 1967-1969; likely long dissolved.",West Philadelphia Corporation Records (Acc 350 et al.),
Central Germantown Community Development Corporation,CDC,Temple archives,Predecessor/counterpart to Greater Germantown Housing Development Corporation; own minutes and inter-org agreements survive through at least 1988.,Germantown Settlement Records (KER0314221),
First Baptist Church of Paschall Development Corporation,CDC,Temple archives,"Faith-based CDC; filed a statement of need with Greater Germantown Housing Development Corporation, 1990.",Germantown Settlement Records (KER0314221),"2210 S 71st St, Philadelphia, PA 19142"
Germantown Settlement,CDC,Temple archives,"Founded 1934 from the merger of Morton Street Day Nursery (est. 1884) and Germantown Community Center (est. 1920). Grew into one of Philadelphia's largest CDCs before financial and governance troubles led to its collapse and dissolution in the 2000s. 455-page records collection at Temple, the largest in this find.",Germantown Settlement Records (KER0314221),"324 E High St, Philadelphia, PA 19144"
Weccacoe Development Association,CDC,Temple archives,Founded 1985 to build and rehab low- and moderate-income housing and clear vacant properties in the Weccacoe (Queen Village/Bella Vista) area.,Weccacoe Development Association Records (Acc 932),
Olde Kensington Redevelopment Corporation,CDC,Temple archives,"Chartered 1968 to develop low-cost housing in Kensington. Formed O.K. Improvement Inc. (1979) and Olde Kensington Senior Housing Associates (1982), which built Sylvia Barg Plaza (opened 1986) and dissolved after selling the building in 2014.",Olde Kensington Senior Housing Associates Records (JL0503221),"1313 N 4th St, Philadelphia, PA 19122"
Kensington Area Revitalization Project,CDC,Temple archives,"Spun out of the Kensington Action Now coalition on 1980-05-09 to acquire, renovate, and sell abandoned properties.",Kensington Action Now Records (Acc 705),"3034 Frankford Ave, Philadelphia, PA 19134"
Socca Community Development Corporation,CDC,Temple archives,"PACDC correspondent (contact: Patricia Evans), 1994; no further detail found in the archives.",PACDC Records (SCRC 241),
West Philadelphia Economic Development Corporation,CDC,Temple archives,"Named in PACDC's 1994 records; distinct from West Philadelphia Partnership/Partnership CDC, no further detail found.",PACDC Records (SCRC 241),
