report_year,org_name,start_year,amount
2016,Delaware River City Corporation (Frmly Delaware Riverfront Renaissance Corp.),2010,100000
2016,The Enterprise Center Community Development Corporation,2009,100000
2016,Nicetown Community Development Corporation,2009,100000
2016,Ogontz Ave Revitalization Corporation,2009,100000
2016,Wynnefield Overbrook Revitalization Corp.,2010,100000
2016,Manayunk Development Corporation,2010,100000
2016,Community Design Collaborative,2012,85000
2016,Frankford Community Development Corporation,2012,85000
2016,Southwest Community Development Corporation,2012,85000
2016,Philadelphia Local Initiatives Support Corporation,2012,85000
2016,ACHIEVEability,2012,85000
2016,East Falls Development Corporation,2012,85000
2016,New Kensington Community Development Corporation,2012,85000
2016,People's Emergency Center CDC,2012,85000
2016,Philadelphia Association of Community Development Corporations,2012,85000
2016,Roxborough Development Corporation,2012,85000
2016,Impact Services Corporation,2012,85000
2016,Central Philadelphia Development Corporation,2012,85000
2016,The Allegheny West Foundation,2012,85000
2016,The Partnership Community Development Corporation,2013,85000
2016,Spring Garden Community Development Corporation,2013,85000
2016,Mayfair Community Development Corporation,2013,85000
2016,East Passyunk Avenue Improvement District,2013,85000
2016,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2016,Project H.O.M.E.,2013,85000
2016,The Village of Arts and Humanities,2013,85000
2016,Mt. Airy U.S.A.,2013,85000
2016,Nueva Esperanza Inc.,2013,85000
2016,Beech Interplex Inc.,2013,85000
2016,Delaware River Waterfront Corporation,2013,85000
2016,Chestnut Hill Community Development Corporation,2013,85000
2016,Philabundance,2013,85000
2016,Common Market Philadelphia Inc.,2013,85000
2016,Philadelphia Chinatown Development Corporation,2014,85000
2016,Schuylkill River Development Corporation,2014,85000
2016,Fairmount Community Development Corporation,2014,85000
2016,Tacony Community Development Corporation,2014,85000
2016,Regional Housing Legal Services,2014,85000
2016,Francisville Neighborhood Development Corporation,2015,100000
2016,Asociación Puertorriqueños En Marcha Inc,2015,100000
2016,University City District,2015,100000
2016,South of South Neighborhood Association,2015,100000
2017,The Enterprise Center Community Development Corporation,2009,100000
2017,Nicetown Community Development Corporation,2009,100000
2017,Ogontz Ave Revitalization Corporation,2009,100000
