org_name,ein,year,revenue,expenses,assets_eoy,net_assets_eoy,employees,volunteers,officer_comp
ACHIEVEAbility,232215980,2011,1828635,2164051,3682937,2710716,,,456079
ACHIEVEAbility,232215980,2012,2324551,2041721,4083363,2993546,,,414871
ACHIEVEAbility,232215980,2013,1217697,2182740,3425955,2028503,,,131611
ACHIEVEAbility,232215980,2014,1535005,1915519,3048057,1647989,,,204942
ACHIEVEAbility,232215980,2015,1523023,1695881,4811198,3073182,,,110002
ACHIEVEAbility,232215980,2016,1261821,2327615,3545900,2007389,,,168803
ACHIEVEAbility,232215980,2017,1740798,1890013,3601378,1858174,,,189295
ACHIEVEAbility,232215980,2018,1766597,1655529,3480757,2444242,,,146850
ACHIEVEAbility,232215980,2019,1723793,1469029,2719999,2265787,,,145598
ACHIEVEAbility,232215980,2020,1849492,1260879,3674852,2854400,,,142518
ACHIEVEAbility,232215980,2021,2564403,2111487,3969838,3307316,,,141860
ACHIEVEAbility,232215980,2022,842709,2398112,2199076,1772638,,,141859
African Cultural Alliance of North America,233062024,2011,109494,126769,261485,,,,
African Cultural Alliance of North America,233062024,2012,182288,199050,243587,,,,
African Cultural Alliance of North America,233062024,2013,179921,174047,243644,,,,
African Cultural Alliance of North America,233062024,2014,240578,222923,248671,18317,,,28586
African Cultural Alliance of North America,233062024,2015,471633,324673,398738,165277,,,56955
African Cultural Alliance of North America,233062024,2016,543124,438542,479049,269859,,,41425
African Cultural Alliance of North America,233062024,2017,656098,631555,545355,294402,,,98047
African Cultural Alliance of North America,233062024,2018,691188,650220,554555,335370,,,0
African Cultural Alliance of North America,233062024,2019,927938,890483,568819,372825,,,65297
African Cultural Alliance of North America,233062024,2020,939233,915112,824769,396946,,,96336
African Cultural Alliance of North America,233062024,2021,1846684,1568423,1135477,675207,,,81700
African Cultural Alliance of North America,233062024,2022,2819476,2303490,3562630,1268403,,,149738
African Cultural Alliance of North America,233062024,2023,2613278,2302736,4339790,1617577,,,173333
Arab American CDC,311620684,2011,16657,30571,48188,,,,
Arab American CDC,311620684,2012,31636,27282,52542,,,,
Arab American CDC,311620684,2013,33027,36200,49369,,,,
Arab American CDC,311620684,2014,23449,24829,47989,,,,
Arab American CDC,311620684,2015,17710,23452,42247,,,,
Arab American CDC,311620684,2016,34137,33775,42609,,,,
Arab American CDC,311620684,2017,106376,68747,80238,,,,
Arab American CDC,311620684,2018,93112,43598,88547,,,,
Arab American CDC,311620684,2019,56001,43021,101527,,,,
Arab American CDC,311620684,2020,62132,42182,121477,,,,
Arab American CDC,311620684,2021,83765,41296,163946,,,,
Arab American CDC,311620684,2022,53910,68024,149832,,,,
Arab American CDC,311620684,2023,235996,182840,202988,202988,,,0
Asociacion Puertorriquenos en Marcha,231930630,2011,9229964,9455701,9900595,8258174,,,218977
Asociacion Puertorriquenos en Marcha,231930630,2012,10210448,9525859,10147517,8942763,,,283839
Asociacion Puertorriquenos en Marcha,231930630,2013,12623367,12038036,12157083,9528094,,,366250
Asociacion Puertorriquenos en Marcha,231930630,2014,23296122,20885316,16538034,11938900,,,425399
Asociacion Puertorriquenos en Marcha,231930630,2015,33353076,30643848,18663722,14648128,,,448093
Asociacion Puertorriquenos en Marcha,231930630,2016,37700484,37031319,20280948,15317293,,,447898
Asociacion Puertorriquenos en Marcha,231930630,2017,38050112,38226826,20559489,15140579,,,546737
Asociacion Puertorriquenos en Marcha,231930630,2018,24541874,23974227,19070260,15708226,,,481999
Asociacion Puertorriquenos en Marcha,231930630,2019,30462380,27585481,23019379,18585125,,,461721
Asociacion Puertorriquenos en Marcha,231930630,2020,25557047,25374504,24554344,18767668,,,638863
Asociacion Puertorriquenos en Marcha,231930630,2021,29564021,25910735,27252719,22420954,,,697468
Asociacion Puertorriquenos en Marcha,231930630,2022,28280861,24991340,30881232,25710475,,,499289
Asociacion Puertorriquenos en Marcha,231930630,2023,33613538,28992406,37633792,30331607,,,498183
Beech Companies,204968928,2010,14682,14682,19224,,,,
Beech Companies,204968928,2011,22031,17207,14996,,,,
Beech Companies,204968928,2012,22827,26887,8436,,,,
Beech Companies,204968928,2013,21803,21720,8519,,,,
Beech Companies,204968928,2014,99379,96052,11846,,,,
Beech Companies,204968928,2015,98384,98912,11318,,,,
Beech Companies,204968928,2016,110931,84195,38054,,,,
Beech Companies,204968928,2017,153773,106920,84907,,,,
Beech Companies,204968928,2018,138111,162021,60997,,,,
Beech Companies,204968928,2019,146998,182586,31649,,,,
Beech Companies,204968928,2020,195782,69401,250398,,,,
Beech Companies,204968928,2021,952792,240603,1038643,863979,,,0
Beech Companies,204968928,2022,436068,369381,1090946,920274,,,0
Brewerytown-Sharswood NAC/CDC,20685211,2010,81,4824,48840,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2011,270,4124,44986,,,,
