org_name,address,lat,lon,status
African Cultural Alliance of North America,"5530 Chester Ave, Philadelphia, PA 19143",39.9380124,-75.2248114,ok
Arab-American CDC,"1501 Germantown Ave, Philadelphia, PA 19122",39.9739104,-75.141362,ok
Asociación Puertorriqueños en Marcha (APM),"1900 N. 9th Street, Suite 102 Philadelphia",39.9814331,-75.1489649,ok (cleaned address)
Beech Interplex,"510 Cecil B. Moore Avenue, Suite 300, Philadelphia, PA 19121",39.9768152,-75.1437616,ok (cleaned address)
Called To Serve CDC,"3600 N. Broad Street, Philadelphia, PA 19140",40.0079556,-75.1520225,ok
Catholic Housing and Community Services,"1601 Cherry Street, Suite 1100, Philadelphia, PA 19102",39.9560551,-75.1669221,ok (cleaned address)
Centennial Parkside CDC,"3479 West Girard Avenue, Philadelphia",39.9749835,-75.19721,ok
Chestnut Hill CDC,"10 E. Springfield Avenue, 19118",40.0697522,-75.199591,ok
Community of Compassion CDC,6150 Cedar Avenue in Philadelphia,39.9524961,-75.2466585,ok (cleaned address)
Community Ventures,"1501 Cherry Street, Philadelphia, PA 19102-1403",39.9560755,-75.1650982,ok
East Falls Development Corporation,"3580 Indian Queen Lane, Philadelphia, PA 19129",40.0096688,-75.1906533,ok
Empowered CDC,"5437 Baltimore Ave, Philadelphia, PA, United States, 19143",39.9477070,-75.2324736,ok (cleaned address)
Esperanza,"4261 North 5th Street, Philadelphia, PA 19140",40.0160438,-75.1339507,ok
Frankford CDC,"Daral Building 4667-69 Paul Street, 2nd Floor Philadelphia, PA 19124",40.0159116,-75.0838551,ok (cleaned address)
Germantown Restoration CDC,"5539 Germantown Ave, Philadelphia, PA, United States, 19144",40.0346824,-75.1730731,ok (cleaned address)
Germantown United CDC,"5320 Germantown Avenue Philadelphia, Pennsylvania 19144 USA",40.0322275,-75.1693796,ok
Habitat for Humanity Philadelphia,"1829 N 19th St, Philadelphia, PA 19121",39.9819921,-75.1649424,ok
HACE,47 N. 5th Street in North Philadelphia,39.9509982,-75.1487112,ok (cleaned address)
HELP Development Corporation,115 E. 13th St.,,,"excluded (address is out-of-state national HQ, not Philadelphia)"
Heritage CDC,"1933 N 23rd Street, Philadelphia, PA 19121",39.9844477,-75.1714678,ok
HMC Squared Community Association,"1536 N 59th Street, Philadelphia, PA 19151",39.9754573,-75.2388767,ok
HopePHL,"325 N. 39th Street, Philadelphia",39.9602905,-75.1998374,ok
Housing Enrichment Renaissance Board CDC,,,,no address
HumanGood East,"1900 Huntington Drive Duarte, CA 91010",,,"excluded (address is out-of-state national HQ, not Philadelphia)"
ICPIC New Africa Center CDC,"4243 Lancaster Avenue, Philadelphia, PA 19104",39.9675107,-75.2090515,ok
Impact Services Corporation,"1952 E. Allegheny Avenue, Philadelphia, PA 19134",39.9946228,-75.1118597,ok
Inglis Housing Corporation,"2600 Belmont Avenue, Philadelphia, PA 19131",39.9988581,-75.2193866,ok
Korean Community Development Services Center,"6055 North 5th Street, Philadelphia",40.0437623,-75.1287993,ok
Lancaster Avenue 21st Century Business Association CDC (LA21),"3500 Lancaster Avenue, Philadelphia, PA 19104",39.9576312,-75.1925781,ok
Lower North Philadelphia CDC,"2206 Ridge Avenue, Philadelphia, PA 19121",39.9796237,-75.1714145,ok
Mission First Housing Group,"48 Arch Street, 2nd Floor Philadelphia",39.9518424,-75.1424821,ok (cleaned address)
Mt. Airy CDC,7100 Germantown Ave,40.0583554,-75.1896683,ok
Mt. Vernon Manor CDC,"3311 Wallace Street, Suite B, Philadelphia, PA 19104",39.9654370,-75.1906636,ok (cleaned address)
New Kensington CDC,17 Frankford Ave,39.9842616,-75.1248843,ok (re-geocoded with zip)
Newbold CDC,"1437 West Passyunk Avenue, Philadelphia, PA 19145",39.925448,-75.1710114,ok
NewCourtland,"6970 Germantown Avenue, Philadelphia, PA 19119",40.0564061,-75.1879253,ok
Nicetown CDC,4414 Germantown Ave. 3rd Floor – Suite A Philadelphia,40.0213210,-75.1581378,ok (cleaned address)
Northwest CLT Corporation,"45 E. Penn Street A-2, Philadelphia, PA 19144-2346",40.0334857,-75.1683044,ok (cleaned address)
Ogontz Ave Revitalization Corporation,"2502 W. Cheltenham Avenue Philadelphia, PA 19150",40.0741961,-75.1586458,ok
Old City District,"231 Market Street, Philadelphia",39.9504939,-75.1447138,ok
Olney Community Collaborative,5458 N. 5th Street,40.0351092,-75.1310441,ok
Overbrook West Neighbors CDC,"6361 Lancaster Ave, Philadelphia, PA 19151",39.9872833,-75.2510939,ok
Oxford Circle Christian Community Development Association (OCCCDA),900 E Howell Street – Building B Philadelphia,40.0375642,-75.0910499,ok (cleaned address)
Park to Broad Arts & Business District,"2914 W Girard Avenue, Philadelphia, PA 19130",39.9744427,-75.1840583,ok
Partnership CDC,"4020 Market Street, Philadelphia, PA 19104",39.9570375,-75.2028431,ok
Passyunk Area Revitalization Corporation,"1134 Titan St, Philadelphia, PA 19147",39.9338053,-75.1627791,ok
Philadelphia Chinatown Development Corporation,"301 N 9th St, Philadelphia, PA 19107",39.957634,-75.153671,ok
ProjectHOME,"1515 Fairmount Ave, Philadelphia, PA 19130",39.9674542,-75.1629077,ok
SEAMAAC,1711 S Broad Street Philadelphia,39.9287124,-75.1683307,ok
Sister Clara Muhammad CDC,"4700 Wyalusing Avenue, Philadelphia",39.970186,-75.2162248,ok
Smart Futures CDC,,,,no address
South Kensington Community Partners,"1301 N 2nd St, Philadelphia, PA 19122",39.9711749,-75.1388271,ok
