org_name,ein,year,officer_comp,executive_director,title,source_url,notes
ACHIEVEAbility,232215980,2011,456079,,,,
ACHIEVEAbility,232215980,2012,414871,,,,
ACHIEVEAbility,232215980,2013,131611,,,,
ACHIEVEAbility,232215980,2014,204942,,,,
ACHIEVEAbility,232215980,2015,110002,,,,
ACHIEVEAbility,232215980,2016,168803,,,,
ACHIEVEAbility,232215980,2017,189295,,,,
ACHIEVEAbility,232215980,2018,146850,,,,
ACHIEVEAbility,232215980,2019,145598,,,,
ACHIEVEAbility,232215980,2020,142518,,,,
ACHIEVEAbility,232215980,2021,141860,,,,
ACHIEVEAbility,232215980,2022,141859,,,,
African Cultural Alliance of North America,233062024,2011,,,,,
African Cultural Alliance of North America,233062024,2012,,,,,
African Cultural Alliance of North America,233062024,2013,,,,,
African Cultural Alliance of North America,233062024,2014,28586,,,,
African Cultural Alliance of North America,233062024,2015,56955,,,,
African Cultural Alliance of North America,233062024,2016,41425,,,,
African Cultural Alliance of North America,233062024,2017,98047,,,,
African Cultural Alliance of North America,233062024,2018,0,,,,
African Cultural Alliance of North America,233062024,2019,65297,,,,
African Cultural Alliance of North America,233062024,2020,96336,,,,
African Cultural Alliance of North America,233062024,2021,81700,,,,
African Cultural Alliance of North America,233062024,2022,149738,,,,
African Cultural Alliance of North America,233062024,2023,173333,,,,
Arab American CDC,311620684,2011,,,,,
Arab American CDC,311620684,2012,,,,,
Arab American CDC,311620684,2013,,,,,
Arab American CDC,311620684,2014,,,,,
Arab American CDC,311620684,2015,,,,,
Arab American CDC,311620684,2016,,,,,
Arab American CDC,311620684,2017,,,,,
Arab American CDC,311620684,2018,,,,,
Arab American CDC,311620684,2019,,,,,
Arab American CDC,311620684,2020,,,,,
Arab American CDC,311620684,2021,,,,,
Arab American CDC,311620684,2022,,,,,
Arab American CDC,311620684,2023,0,,,,
Asociacion Puertorriquenos en Marcha,231930630,2011,218977,,,,
Asociacion Puertorriquenos en Marcha,231930630,2012,283839,,,,
Asociacion Puertorriquenos en Marcha,231930630,2013,366250,,,,
Asociacion Puertorriquenos en Marcha,231930630,2014,425399,,,,
Asociacion Puertorriquenos en Marcha,231930630,2015,448093,,,,
Asociacion Puertorriquenos en Marcha,231930630,2016,447898,,,,
Asociacion Puertorriquenos en Marcha,231930630,2017,546737,,,,
Asociacion Puertorriquenos en Marcha,231930630,2018,481999,,,,
Asociacion Puertorriquenos en Marcha,231930630,2019,461721,,,,
Asociacion Puertorriquenos en Marcha,231930630,2020,638863,,,,
Asociacion Puertorriquenos en Marcha,231930630,2021,697468,,,,
Asociacion Puertorriquenos en Marcha,231930630,2022,499289,,,,
Asociacion Puertorriquenos en Marcha,231930630,2023,498183,,,,
Beech Companies,204968928,2010,,,,,
Beech Companies,204968928,2011,,,,,
Beech Companies,204968928,2012,,,,,
Beech Companies,204968928,2013,,,,,
Beech Companies,204968928,2014,,,,,
Beech Companies,204968928,2015,,,,,
Beech Companies,204968928,2016,,,,,
Beech Companies,204968928,2017,,,,,
Beech Companies,204968928,2018,,,,,
Beech Companies,204968928,2019,,,,,
Beech Companies,204968928,2020,,,,,
Beech Companies,204968928,2021,0,,,,
Beech Companies,204968928,2022,0,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2010,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2011,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2012,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2013,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2014,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2015,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2016,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2017,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2019,,,,,
Brewerytown-Sharswood NAC/CDC,20685211,2021,,,,,
Called to Serve CDC,464404323,2014,,,,,
Called to Serve CDC,464404323,2015,,,,,
Called to Serve CDC,464404323,2016,,,,,
Called to Serve CDC,464404323,2017,,,,,
Called to Serve CDC,464404323,2018,,,,,
Called to Serve CDC,464404323,2019,0,,,,
Called to Serve CDC,464404323,2020,0,,,,
Called to Serve CDC,464404323,2021,65423,,,,
Called to Serve CDC,464404323,2022,63000,,,,
Called to Serve CDC,464404323,2023,68000,,,,
Centennial Parkside CDC,474815728,2016,0,,,,
Centennial Parkside CDC,474815728,2017,0,,,,
Centennial Parkside CDC,474815728,2018,0,,,,
Centennial Parkside CDC,474815728,2019,0,,,,
Centennial Parkside CDC,474815728,2020,58000,,,,
Centennial Parkside CDC,474815728,2021,66916,,,,
Centennial Parkside CDC,474815728,2022,59731,,,,
Centennial Parkside CDC,474815728,2023,64417,,,,
Chestnut Hill CDC,274673757,2011,,,,,
Chestnut Hill CDC,274673757,2012,,,,,
Chestnut Hill CDC,274673757,2013,,,,,
Chestnut Hill CDC,274673757,2014,,,,,
Chestnut Hill CDC,274673757,2015,,,,,
Chestnut Hill CDC,274673757,2016,,,,,
Chestnut Hill CDC,274673757,2017,,,,,
Chestnut Hill CDC,274673757,2018,50561,,,,
Chestnut Hill CDC,274673757,2019,,,,,
Chestnut Hill CDC,274673757,2020,,,,,
Chestnut Hill CDC,274673757,2021,,,,,
Chestnut Hill CDC,274673757,2022,,,,,
Chestnut Hill CDC,274673757,2023,,,,,
Community of Compassion CDC,331035662,2021,,,,,
Community Ventures,232462126,2010,118608,,,,
Community Ventures,232462126,2011,200410,,,,
Community Ventures,232462126,2012,177675,,,,
Community Ventures,232462126,2013,141260,,,,
Community Ventures,232462126,2014,99167,,,,
Community Ventures,232462126,2015,106790,,,,
Community Ventures,232462126,2016,113927,,,,
Community Ventures,232462126,2017,115150,,,,
Community Ventures,232462126,2018,118836,,,,
Community Ventures,232462126,2019,119717,,,,
Community Ventures,232462126,2020,130190,,,,
Community Ventures,232462126,2021,131168,,,,
Community Ventures,232462126,2022,137454,,,,
Community Ventures,232462126,2023,392114,,,,
East Falls Development Corporation,232805925,2010,50923,,,,
East Falls Development Corporation,232805925,2011,50923,,,,
East Falls Development Corporation,232805925,2012,81202,,,,
East Falls Development Corporation,232805925,2013,82581,,,,
East Falls Development Corporation,232805925,2014,60795,,,,
East Falls Development Corporation,232805925,2015,55862,,,,
East Falls Development Corporation,232805925,2016,60089,,,,
East Falls Development Corporation,232805925,2017,53651,,,,
East Falls Development Corporation,232805925,2018,57478,,,,
East Falls Development Corporation,232805925,2019,0,,,,
East Falls Development Corporation,232805925,2020,9801,,,,
East Falls Development Corporation,232805925,2021,40213,,,,
East Falls Development Corporation,232805925,2022,65388,,,,
East Falls Development Corporation,232805925,2023,75089,,,,
The Enterprise Center CDC,300002632,2012,0,,,,
The Enterprise Center CDC,300002632,2013,0,,,,
The Enterprise Center CDC,300002632,2014,0,,,,
The Enterprise Center CDC,300002632,2015,0,,,,
The Enterprise Center CDC,300002632,2016,0,,,,
The Enterprise Center CDC,300002632,2017,0,,,,
The Enterprise Center CDC,300002632,2018,0,,,,
The Enterprise Center CDC,300002632,2019,0,,,,
The Enterprise Center CDC,300002632,2020,0,,,,
The Enterprise Center CDC,300002632,2021,120031,,,,
The Enterprise Center CDC,300002632,2022,0,,,,
The Enterprise Center CDC,300002632,2023,0,,,,
Esperanza,232552707,2011,514543,,,,
Esperanza,232552707,2012,612144,,,,
Esperanza,232552707,2013,624869,,,,
Esperanza,232552707,2014,496297,,,,
Esperanza,232552707,2015,439330,,,,
