report_year,org_name,start_year,amount
2015,ACHIEVEability,2012,85000
2015,"Asociaciόn Puertorriqueños En Marcha, Inc",2015,100000
2015,"Beech Interplex, Inc.",2013,85000
2015,Central Philadelphia Development Corporation,2012,85000
2015,Chestnut Hill Community Development Corporation,2013,85000
2015,"Common Market Philadelphia, Inc., HFI",2013,85000
2015,"Community Design Collaborative, NPI",2012,85000
2015,Delaware River City Corporation (Frmly Delaware Riverfront Renaissance Corp.),2010,100000
2015,Delaware River Waterfront Corporation,2013,85000
2015,East Falls Development Corporation,2012,85000
2015,East Passyunk Avenue Improvement District,2013,85000
2015,Fairmount Community Development Corporation,2014,85000
2015,Francisville Neighborhood Development Corporation,2015,100000
2015,Frankford Community Development Corporation,2012,85000
2015,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2015,Impact Services Corporation,2012,85000
2015,Manayunk Development Corporation,2010,100000
2015,Mayfair Community Development Corporation,2013,85000
2015,Mt. Airy U.S.A.,2013,85000
2015,New Kensington Community Development Corporation,2012,85000
2015,Nicetown Community Development Corporation,2009,100000
2015,"Nueva Esperanza, Inc.",2013,85000
2015,Ogontz Ave Revitalization Corporation,2009,100000
2015,People’s Emergency Center CDC,2012,85000
2015,"Philabundance, HFI",2013,85000
2015,"Philadelphia Association of Community Development Corporations, NPI",2012,85000
2015,Philadelphia Chinatown Development Corporation,2014,85000
2015,"Philadelphia Local Initiatives Support Corporation, NPI",2012,85000
2015,Project H.O.M.E.,2013,85000
2015,Regional Housing Legal Services-NPI,2014,85000
2015,Roxborough Development Corporation,2012,85000
2015,Schuylkill River Development Corporation (SRDC),2014,85000
2015,South of South Neighborhood Association,2015,100000
2015,Southwest Community Development Corporation,2012,85000
2015,Spring Garden Community Development Corporation,2013,85000
2015,Tacony Community Development Corporation,2014,85000
2015,The Allegheny West Foundation,2012,85000
2015,The Enterprise Center Community Development Corporation,2009,100000
2015,The Partnership Community Development Corporation,2013,85000
2015,The Village of Arts and Humanities,2013,85000
2015,University City District,2015,100000
2015,Wynnefield Overbrook Revitalization Corp.,2010,100000
2019,ACHIEVEability,2012,85000
2019,"Asociaciόn Puertorriqueños En Marcha, Inc",2015,100000
2019,"Beech Interplex, Inc.",2013,85000
2019,Central Philadelphia Development Corporation,2012,85000
2019,Chestnut Hill Community Development Corporation,2013,85000
2019,"Common Market Philadelphia, Inc., HFI",2013,85000
2019,"Community Design Collaborative, NPI",2012,85000
2019,Delaware River City Corporation (DRCC),2017,100000
2019,Delaware River Waterfront Corporation,2013,85000
2019,East Falls Development Corporation,2012,85000
2019,East Passyunk Avenue Improvement District,2013,85000
2019,Fairmount Community Development Corporation,2014,85000
2019,Francisville Neighborhood Development Corporation,2015,100000
2019,Frankford Community Development Corporation,2012,85000
2019,Germantown United Community Development Corporation,2019,100000
2019,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2019,Impact Services Corporation,2012,85000
2019,Manayunk Development Corporation,2010,100000
2019,Mayfair Community Development Corporation,2013,85000
2019,Mt. Airy U.S.A.,2013,85000
2019,New Kensington Community Development Corporation,2012,85000
2019,Nicetown Community Development Corporation,2019,100000
2019,"Nueva Esperanza, Inc.",2013,85000
2019,Old City Community Fund,2017,100
2019,People’s Emergency Center CDC,2012,85000
2019,"Philabundance, HFI",2013,85000
2019,"Philadelphia Association of Community Development Corporations, NPI",2012,85000
2019,Philadelphia Chinatown Development Corporation,2014,85000
2019,"Philadelphia Local Initiatives Support Corporation, NPI",2012,85000
2019,Project H.O.M.E.,2013,85000
2019,Regional Housing Legal Services-NPI (business sponsor dropped out 2018),2014,0
2019,Roxborough Development Corporation,2012,85000
2019,Schuylkill River Development Corporation (SRDC),2014,85000
2019,"SEAMAAC, Inc.",2019,100000
2019,South of South Neighborhood Association,2015,100000
2019,Southwest Community Development Corporation,2012,85000
2019,Spring Garden Community Development Corporation,2013,85000
2019,Tacony Community Development Corporation,2014,85000
2019,The Allegheny West Foundation,2019,100000
2019,The Village of Arts and Humanities,2013,85000
2019,University City District,2015,100000
2019,Wynnefield Overbrook Revitalization Corp.,2010,100000
2020,ACHIEVEability,2012,85000
2020,"Asociaciόn Puertorriqueños En Marcha, Inc",2015,100000
2020,"Beech Interplex, Inc.",2013,85000
2020,Central Philadelphia Development Corporation,2012,85000
2020,Chestnut Hill Community Development Corporation,2013,85000
2020,"Common Market Philadelphia, Inc., HFI",2013,85000
2020,"Community Design Collaborative, NPI",2012,85000
2020,Delaware River City Corporation (DRCC),2017,100000
2020,Delaware River Waterfront Corporation,2013,85000
2020,East Falls Development Corporation,2012,85000
2020,East Passyunk Avenue Improvement District,2013,85000
2020,Fairmount Community Development Corporation,2014,85000
2020,Francisville Neighborhood Development Corporation,2015,100000
2020,Frankford Community Development Corporation,2012,85000
2020,Germantown United Community Development Corporation,2019,100000
2020,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2020,Impact Services Corporation,2012,85000
2020,Mayfair Business Improvement District (BID),2020,100000
2020,Mt. Airy U.S.A.,2013,85000
2020,New Kensington Community Development Corporation,2012,85000
2020,New Manayunk Corporation,2020,100000
2020,Nicetown Community Development Corporation,2019,100000
2020,"Nueva Esperanza, Inc.",2013,85000
