org_name,ein,year,pdf_url
African Cultural Alliance of North America,233062024,2024,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F233062024_202408_990_2025082223670368.pdf
African Cultural Alliance of North America,233062024,2023,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F233062024_202308_990_2024120622933642.pdf
African Cultural Alliance of North America,233062024,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_11_2023_prefixes_22-23%2F233062024_202208_990_2023110221848833.pdf
African Cultural Alliance of North America,233062024,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F233062024_202108_990_2022080320269193.pdf
African Cultural Alliance of North America,233062024,2020,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F233062024_202008_990_2021082718787611.pdf
African Cultural Alliance of North America,233062024,2019,https://projects.propublica.org/nonprofits/download-filing?path=11_2020_prefixes_16-23%2F233062024_201908_990_2020111017418788.pdf
African Cultural Alliance of North America,233062024,2018,https://projects.propublica.org/nonprofits/download-filing?path=04_2019_prefixes_23-26%2F233062024_201808_990_2019042516243009.pdf
African Cultural Alliance of North America,233062024,2017,https://projects.propublica.org/nonprofits/download-filing?path=08_2018_prefixes_22-23%2F233062024_201708_990_2018082215609951.pdf
African Cultural Alliance of North America,233062024,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F233062024_201608_990_2017100614815103.pdf
African Cultural Alliance of North America,233062024,2015,https://projects.propublica.org/nonprofits/download-filing?path=2016_08_EO%2F23-3062024_990_201508.pdf
African Cultural Alliance of North America,233062024,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_08_EO%2F23-3062024_990_201408.pdf
African Cultural Alliance of North America,233062024,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_05_EO%2F23-3062024_990EZ_201308.pdf
African Cultural Alliance of North America,233062024,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_07_EO%2F23-3062024_990EZ_201208.pdf
African Cultural Alliance of North America,233062024,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_06_EO%2F23-3062024_990EZ_201108.pdf
African Cultural Alliance of North America,233062024,2010,https://projects.propublica.org/nonprofits/download-filing?path=2011_08_EO%2F23-3062024_990EZ_201008.pdf
African Cultural Alliance of North America,233062024,2009,https://projects.propublica.org/nonprofits/download-filing?path=2010_05_EO%2F23-3062024_990EZ_200908.pdf
African Cultural Alliance of North America,233062024,2008,https://projects.propublica.org/nonprofits/download-filing?path=2009_04_EO%2F23-3062024_990O_200812.pdf
African Cultural Alliance of North America,233062024,2007,https://projects.propublica.org/nonprofits/download-filing?path=2008_03_EO%2F23-3062024_990O_200708.pdf
African Cultural Alliance of North America,233062024,2003,https://projects.propublica.org/nonprofits/download-filing?path=2004_08_EO%2F23-3062024_990ER_200308.pdf
Arab-American CDC,311620684,2022,https://projects.propublica.org/nonprofits/download-filing?path=download990pdf_10_2023_prefixes_30-33%2F311620684_202212_990EZ_2023101721715799.pdf
Arab-American CDC,311620684,2021,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F311620684_202112_990EZ_2023020220888570.pdf
Arab-American CDC,311620684,2019,https://projects.propublica.org/nonprofits/download-filing?path=10_2020_prefixes_31-34%2F311620684_201912_990EZ_2020101617383168.pdf
Arab-American CDC,311620684,2018,https://projects.propublica.org/nonprofits/download-filing?path=10_2019_prefixes_31-34%2F311620684_201812_990EZ_2019101816758980.pdf
Arab-American CDC,311620684,2017,https://projects.propublica.org/nonprofits/download-filing?path=10_2018_prefixes_27-31%2F311620684_201712_990EZ_2018100215756555.pdf
Arab-American CDC,311620684,2016,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F311620684_201612_990EZ_2017101814856824.pdf
Arab-American CDC,311620684,2015,https://projects.propublica.org/nonprofits/download-filing?path=IRS%2F311620684_201512_990EZ_2017071214562363.pdf
Arab-American CDC,311620684,2014,https://projects.propublica.org/nonprofits/download-filing?path=2015_09_EO%2F31-1620684_990EZ_201412.pdf
Arab-American CDC,311620684,2013,https://projects.propublica.org/nonprofits/download-filing?path=2014_10_EO%2F31-1620684_990EZ_201312.pdf
Arab-American CDC,311620684,2012,https://projects.propublica.org/nonprofits/download-filing?path=2013_07_EO%2F31-1620684_990EZ_201212.pdf
Arab-American CDC,311620684,2011,https://projects.propublica.org/nonprofits/download-filing?path=2012_11_EO%2F31-1620684_990EZ_201112.pdf
