org_name,ein,year,revenue,expenses,assets_eoy,net_assets_eoy,employees,volunteers,officer_comp
African Cultural Alliance of North America,233062024,2011,109494,126769,261485,,,,
African Cultural Alliance of North America,233062024,2012,182288,199050,243587,,,,
African Cultural Alliance of North America,233062024,2013,179921,174047,243644,,,,
African Cultural Alliance of North America,233062024,2014,240578,222923,248671,18317,,,28586
African Cultural Alliance of North America,233062024,2015,471633,324673,398738,165277,,,56955
African Cultural Alliance of North America,233062024,2016,543124,438542,479049,269859,,,41425
African Cultural Alliance of North America,233062024,2017,656098,631555,545355,294402,,,98047
African Cultural Alliance of North America,233062024,2018,691188,650220,554555,335370,,,0
African Cultural Alliance of North America,233062024,2019,927938,890483,568819,372825,,,65297
African Cultural Alliance of North America,233062024,2020,939233,915112,824769,396946,,,96336
African Cultural Alliance of North America,233062024,2021,1846684,1568423,1135477,675207,,,81700
African Cultural Alliance of North America,233062024,2022,2819476,2303490,3562630,1268403,,,149738
African Cultural Alliance of North America,233062024,2023,2613278,2302736,4339790,1617577,,,173333
Arab-American CDC,311620684,2011,16657,30571,48188,,,,
Arab-American CDC,311620684,2012,31636,27282,52542,,,,
Arab-American CDC,311620684,2013,33027,36200,49369,,,,
Arab-American CDC,311620684,2014,23449,24829,47989,,,,
Arab-American CDC,311620684,2015,17710,23452,42247,,,,
Arab-American CDC,311620684,2016,34137,33775,42609,,,,
Arab-American CDC,311620684,2017,106376,68747,80238,,,,
Arab-American CDC,311620684,2018,93112,43598,88547,,,,
Arab-American CDC,311620684,2019,56001,43021,101527,,,,
Arab-American CDC,311620684,2020,62132,42182,121477,,,,
Arab-American CDC,311620684,2021,83765,41296,163946,,,,
Arab-American CDC,311620684,2022,53910,68024,149832,,,,
Arab-American CDC,311620684,2023,235996,182840,202988,202988,,,0
Asociación Puertorriqueños en Marcha (APM),231930630,2011,9229964,9455701,9900595,8258174,,,218977
Asociación Puertorriqueños en Marcha (APM),231930630,2012,10210448,9525859,10147517,8942763,,,283839
Asociación Puertorriqueños en Marcha (APM),231930630,2013,12623367,12038036,12157083,9528094,,,366250
Asociación Puertorriqueños en Marcha (APM),231930630,2014,23296122,20885316,16538034,11938900,,,425399
Asociación Puertorriqueños en Marcha (APM),231930630,2015,33353076,30643848,18663722,14648128,,,448093
Asociación Puertorriqueños en Marcha (APM),231930630,2016,37700484,37031319,20280948,15317293,,,447898
Asociación Puertorriqueños en Marcha (APM),231930630,2017,38050112,38226826,20559489,15140579,,,546737
Asociación Puertorriqueños en Marcha (APM),231930630,2018,24541874,23974227,19070260,15708226,,,481999
Asociación Puertorriqueños en Marcha (APM),231930630,2019,30462380,27585481,23019379,18585125,,,461721
Asociación Puertorriqueños en Marcha (APM),231930630,2020,25557047,25374504,24554344,18767668,,,638863
Asociación Puertorriqueños en Marcha (APM),231930630,2021,29564021,25910735,27252719,22420954,,,697468
Asociación Puertorriqueños en Marcha (APM),231930630,2022,28280861,24991340,30881232,25710475,,,499289
Asociación Puertorriqueños en Marcha (APM),231930630,2023,33613538,28992406,37633792,30331607,,,498183
Beech Interplex,521693162,2011,4841733,4166130,42419878,1795664,,,374105
Beech Interplex,521693162,2012,7441293,6609278,41944312,2377679,,,393360
Beech Interplex,521693162,2013,6091514,6177554,40925309,2291639,,,364181
Beech Interplex,521693162,2014,5633794,6313744,39448036,1611689,,,248830
Beech Interplex,521693162,2015,5789886,5997398,38067486,1404177,,,357059
Beech Interplex,521693162,2016,5529470,7028146,42334470,-1211067,,,513232
Beech Interplex,521693162,2017,6072317,6361760,40998821,-1865145,,,571296
Beech Interplex,521693162,2018,4950275,5284651,39269628,-2199521,,,601935
Beech Interplex,521693162,2019,5712878,6434141,37855492,-2981031,,,505989
Beech Interplex,521693162,2020,6301222,7111467,36524346,-3921827,,,551262
Beech Interplex,521693162,2021,5583039,6404960,34852112,-4832343,,,500007
Beech Interplex,521693162,2022,2516500,3072480,33685887,-6320629,,,504551
Beech Interplex,521693162,2023,4055112,7044529,28844422,-8516841,,,377933
Called To Serve CDC,464404323,2014,11770,11513,257,,,,
Called To Serve CDC,464404323,2015,25956,24978,1235,,,,
Called To Serve CDC,464404323,2016,45046,44524,11757,,,,
Called To Serve CDC,464404323,2017,82113,56318,27552,,,,
Called To Serve CDC,464404323,2018,93363,96675,24240,,,,
Called To Serve CDC,464404323,2019,194659,123755,110144,95144,,,0
Called To Serve CDC,464404323,2020,359662,363523,143899,91283,,,0
Called To Serve CDC,464404323,2021,451513,356704,201563,186092,,,65423
Called To Serve CDC,464404323,2022,1872045,810687,1448988,1310450,,,63000
Called To Serve CDC,464404323,2023,883926,544834,1969811,1928186,,,68000
Centennial Parkside CDC,474815728,2016,76016,41144,45956,35956,,,0
Centennial Parkside CDC,474815728,2017,59943,86510,56245,56126,,,0
Centennial Parkside CDC,474815728,2018,572977,151859,477244,477244,,,0
Centennial Parkside CDC,474815728,2019,511290,251071,737463,737463,,,0
Centennial Parkside CDC,474815728,2020,524711,274459,1116571,987715,,,58000
Centennial Parkside CDC,474815728,2021,310858,479984,942290,818589,,,66916
Centennial Parkside CDC,474815728,2022,468133,506327,1054159,780395,,,59731
Centennial Parkside CDC,474815728,2023,812649,634863,1182481,958181,,,64417
Chestnut Hill CDC,274673757,2011,0,0,1,,,,
Chestnut Hill CDC,274673757,2012,0,0,1,,,,
Chestnut Hill CDC,274673757,2013,0,0,1,,,,
Chestnut Hill CDC,274673757,2014,100562,84818,15744,,,,
Chestnut Hill CDC,274673757,2015,94395,68685,41454,,,,
Chestnut Hill CDC,274673757,2016,86400,84983,42871,,,,
Chestnut Hill CDC,274673757,2017,85951,95124,33698,,,,
Chestnut Hill CDC,274673757,2018,272069,303142,2625,2625,,,50561
Chestnut Hill CDC,274673757,2019,95100,74048,23677,,,,
Chestnut Hill CDC,274673757,2020,145076,129721,61232,,,,
Chestnut Hill CDC,274673757,2021,107955,103106,43926,,,,
Chestnut Hill CDC,274673757,2022,131681,88981,86581,,,,
Chestnut Hill CDC,274673757,2023,78725,72737,92569,,,,
Community of Compassion CDC,331035662,2021,198846,109633,90325,,,,
Community Ventures,232462126,2010,1940862,874853,10517974,4630692,,,118608
Community Ventures,232462126,2011,5313423,5068845,11061691,4875270,,,200410
Community Ventures,232462126,2012,5197469,5235796,10209670,4836943,,,177675
Community Ventures,232462126,2013,6718511,6659896,5605430,4895558,,,141260
Community Ventures,232462126,2014,1006484,1033219,6381699,4868823,,,99167
Community Ventures,232462126,2015,4328757,3626150,7990445,5571430,,,106790
Community Ventures,232462126,2016,3174324,2670555,7060061,6075199,,,113927
Community Ventures,232462126,2017,5728742,1092536,11806021,10711405,,,115150
Community Ventures,232462126,2018,4544227,1617252,14611882,13638380,,,118836
Community Ventures,232462126,2019,2419339,1142554,15890310,14915165,,,119717
Community Ventures,232462126,2020,4232251,1266200,18419413,17881216,,,130190
Community Ventures,232462126,2021,1369204,1438999,18118197,17811421,,,131168
Community Ventures,232462126,2022,1560468,1510598,18608885,17861291,,,137454
Community Ventures,232462126,2023,1640458,1668071,18479436,17833678,,,392114
East Falls Development Corporation,232805925,2010,440004,475054,438560,426153,,,50923
East Falls Development Corporation,232805925,2011,209792,214225,481192,421720,,,50923
East Falls Development Corporation,232805925,2012,263211,255679,443563,429252,,,81202
East Falls Development Corporation,232805925,2013,171012,243393,367360,356871,,,82581
East Falls Development Corporation,232805925,2014,155535,164112,369392,348294,,,60795
East Falls Development Corporation,232805925,2015,227509,182986,606856,392817,,,55862
East Falls Development Corporation,232805925,2016,186036,170794,615770,408059,,,60089
East Falls Development Corporation,232805925,2017,203875,159690,649720,452244,,,53651
East Falls Development Corporation,232805925,2018,161972,196989,601409,417227,,,57478
East Falls Development Corporation,232805925,2019,186980,177950,604593,426257,,,0
East Falls Development Corporation,232805925,2020,187520,161053,465015,457633,,,9801
East Falls Development Corporation,232805925,2021,493883,525557,444759,425959,,,40213
East Falls Development Corporation,232805925,2022,243070,201190,490372,467839,,,65388
East Falls Development Corporation,232805925,2023,271935,265146,494172,474628,,,75089
Empowered CDC,845037676,2023,142834,99479,0,0,,,0
Esperanza,232552707,2011,6545793,6645099,7136887,5179302,,,514543
Esperanza,232552707,2012,6856656,6954867,6137099,5081091,,,612144
Esperanza,232552707,2013,8347622,8455938,6013833,4972775,,,624869
Esperanza,232552707,2014,11855236,8320461,10698857,8507550,,,496297
Esperanza,232552707,2015,11254626,8578552,14090587,11183624,,,439330
Esperanza,232552707,2016,8776229,12550850,10983636,7409003,,,840871
Esperanza,232552707,2017,8414632,8242402,10643999,7581233,,,840456
Esperanza,232552707,2018,9414737,8909541,10732341,8086429,,,610881
Esperanza,232552707,2019,8609201,8402862,11951310,8292768,,,796340
Esperanza,232552707,2020,10961159,8664252,17535597,10589675,,,750509
Esperanza,232552707,2021,12218705,8471132,22032264,14337248,,,772032
Esperanza,232552707,2022,11856124,10142179,25298175,16048815,,,714757
Esperanza,232552707,2023,13454615,13006335,44544879,16498054,,,739206
Frankford CDC,232738932,2011,212999,148928,1416718,71254,,,0
Frankford CDC,232738932,2012,136392,161646,1456208,46000,,,0
Frankford CDC,232738932,2013,212789,149675,1346333,129114,,,0
Frankford CDC,232738932,2014,291805,231955,1461980,307158,,,64000
Frankford CDC,232738932,2015,451997,457413,1539672,290205,,,76000
Frankford CDC,232738932,2016,859002,353673,2084290,878899,,,75952
Frankford CDC,232738932,2017,653592,383277,2419579,1152046,,,0
Frankford CDC,232738932,2018,617955,597051,1436340,414312,,,0
Frankford CDC,232738932,2019,673798,633855,1918930,2274863,,,0
Frankford CDC,232738932,2020,787351,624196,2257070,981411,,,0
Frankford CDC,232738932,2021,1489751,681307,3497736,1789855,,,0
Frankford CDC,232738932,2022,1161717,833567,4113781,2118006,,,0
Frankford CDC,232738932,2023,3208911,1257929,10121892,4643988,,,0
Germantown United CDC,453739378,2015,233120,164103,133688,106597,,,30000
Germantown United CDC,453739378,2016,423546,253922,312263,276221,,,50384
Germantown United CDC,453739378,2017,349842,234725,405427,345597,,,51558
Germantown United CDC,453739378,2018,166689,342736,224966,169550,,,53045
Germantown United CDC,453739378,2019,462738,439591,243783,192697,,,51471
Germantown United CDC,453739378,2020,347686,337494,247065,185818,,,67692
Germantown United CDC,453739378,2021,537439,482882,299367,240375,,,63242
Germantown United CDC,453739378,2022,612479,462122,468748,390732,,,73192
Germantown United CDC,453739378,2023,606368,604625,458673,392475,,,73000
Habitat for Humanity Philadelphia,421580163,2011,1644750,1558772,4970198,2646280,,,0
Habitat for Humanity Philadelphia,421580163,2012,3209723,2949673,5192500,2905629,,,0
Habitat for Humanity Philadelphia,421580163,2013,3459863,2720419,5975755,3648545,,,0
Habitat for Humanity Philadelphia,421580163,2014,4476895,3848492,6643397,4289649,,,0
Habitat for Humanity Philadelphia,421580163,2015,5097998,4664802,7031392,4722027,,,0
Habitat for Humanity Philadelphia,421580163,2016,5195601,5586454,6646533,4324199,,,0
Habitat for Humanity Philadelphia,421580163,2017,6601532,7166495,6273859,4174316,,,0
Habitat for Humanity Philadelphia,421580163,2018,4852580,5754284,6210954,3687570,,,0
Habitat for Humanity Philadelphia,421580163,2019,8236308,6581261,7901946,5794466,,,0
Habitat for Humanity Philadelphia,421580163,2020,7765124,6327446,10887619,7880217,,,0
Habitat for Humanity Philadelphia,421580163,2021,10443619,10675667,10780964,8198266,,,0
Habitat for Humanity Philadelphia,421580163,2022,15243125,8576154,20358278,15139381,,,0
Habitat for Humanity Philadelphia,421580163,2023,8309601,8967978,22774728,14739543,,,0
HMC Squared Community Association,473084174,2014,0,0,1,,,,
HopePHL,232017882,2011,7511281,6909262,6144552,3504862,,,302017
HopePHL,232017882,2012,7858596,7867348,4973971,3246294,,,170654
HopePHL,232017882,2013,7206171,7857348,5017906,2714712,,,301824
HopePHL,232017882,2014,6255475,6881899,4318482,2088288,,,432351
HopePHL,232017882,2015,5905644,6345423,4571623,1061734,,,144438
HopePHL,232017882,2016,6269698,6278382,7528344,1050188,,,335573
HopePHL,232017882,2017,5734038,5679960,9136574,1105988,,,240530
HopePHL,232017882,2018,4925925,5352376,10667262,680746,,,371959
HopePHL,232017882,2019,5152937,5698868,12506823,452307,,,350953
HopePHL,232017882,2020,5638344,5777311,14096581,177397,,,368194
HopePHL,232017882,2021,6602781,6682859,15414180,10826,,,341149
HopePHL,232017882,2022,6960539,6715940,15564186,150264,,,327388
HopePHL,232017882,2023,8006243,9622649,16992535,-1858551,,,186523
HumanGood East,232828862,2016,0,0,8137500,8137500,,,0
HumanGood East,232828862,2017,0,0,8137500,8137500,,,0
HumanGood East,232828862,2018,1023440,24427,10306565,9136513,,,0
HumanGood East,232828862,2019,65998,20778,10372563,1044233,,,0
HumanGood East,232828862,2020,42684,21753,10416682,1065164,,,0
HumanGood East,232828862,2022,89186,32689,10225187,702618,,,0
HumanGood East,232828862,2023,0,24307,10225187,678311,,,0
Impact Services Corporation,232087348,2011,9981902,9840090,8477454,5381802,,,380045
Impact Services Corporation,232087348,2012,9703275,10141929,7884367,4943148,,,411294
Impact Services Corporation,232087348,2013,9949055,10230954,7540406,4665425,,,312488
Impact Services Corporation,232087348,2014,9191020,9761042,7261820,4209838,,,528469
Impact Services Corporation,232087348,2015,9328366,10720847,6004148,2655105,,,502764
Impact Services Corporation,232087348,2016,9612084,9891954,6114213,2992234,,,675449
Impact Services Corporation,232087348,2017,8703721,9525178,5890268,1554531,,,557669
Impact Services Corporation,232087348,2018,10729921,10483768,7076091,1800684,,,610949
Impact Services Corporation,232087348,2019,12661426,12453893,8866753,2008217,,,0
Impact Services Corporation,232087348,2020,11279045,11705525,8858726,1581737,,,0
Impact Services Corporation,232087348,2021,12440470,11240041,10268783,2782160,,,0
Impact Services Corporation,232087348,2022,12280206,11675076,11137240,2861889,,,0
Impact Services Corporation,232087348,2023,13359196,13444546,14572801,3364927,,,462664
Inglis Housing Corporation,232326550,2011,320601,887831,2567141,287155,,,0
Inglis Housing Corporation,232326550,2012,386062,840414,2423071,-167197,,,0
Inglis Housing Corporation,232326550,2013,378683,860320,2415411,-326410,,,0
Inglis Housing Corporation,232326550,2014,632684,897066,2437225,-590792,,,0
Inglis Housing Corporation,232326550,2015,1223957,971965,7230799,7192902,,,0
Inglis Housing Corporation,232326550,2016,532227,1015972,9863259,6709157,,,0
Inglis Housing Corporation,232326550,2017,516171,1022137,9609938,6203191,,,0
Inglis Housing Corporation,232326550,2018,630107,1230811,6358838,6262855,,,0
Inglis Housing Corporation,232326550,2019,604590,1642218,6783740,5671411,,,0
Inglis Housing Corporation,232326550,2020,586024,1586198,7285735,5019010,,,0
Inglis Housing Corporation,232326550,2021,898327,1703654,7836344,3733654,,,238063
Inglis Housing Corporation,232326550,2022,1237273,1864929,8351341,2725122,,,253883
Inglis Housing Corporation,232326550,2023,695036,2654747,10207009,765411,,,50154
Korean Community Development Services Center,232303766,2011,1318732,1490013,1900783,1874301,,,0
Korean Community Development Services Center,232303766,2012,1338398,1393191,1864949,1819508,,,0
Korean Community Development Services Center,232303766,2013,1422009,1264685,2021765,1976832,,,0
Korean Community Development Services Center,232303766,2014,1335594,1269974,2123547,2042452,,,0
Korean Community Development Services Center,232303766,2015,1581129,1214186,2646027,2409395,,,0
Korean Community Development Services Center,232303766,2016,1470876,1236767,3804651,2643504,,,30000
Korean Community Development Services Center,232303766,2017,1733761,1501992,3525383,2875273,,,30000
Korean Community Development Services Center,232303766,2018,1787049,1631179,3962936,3031145,,,30000
Korean Community Development Services Center,232303766,2019,1567920,1425869,3829515,3173194,,,0
Korean Community Development Services Center,232303766,2020,1565558,1360135,3931923,3378617,,,0
Korean Community Development Services Center,232303766,2021,2245027,1283199,4539778,4315894,,,0
Korean Community Development Services Center,232303766,2022,1940181,1189288,5298112,5060234,,,0
Korean Community Development Services Center,232303766,2023,1710276,1447593,5233437,5163483,,,0
Lancaster Avenue 21st Century Business Association CDC (LA21),900502551,2015,5975,2375,3600,,,,
Lancaster Avenue 21st Century Business Association CDC (LA21),900502551,2016,16600,17318,2391,,,,
Lancaster Avenue 21st Century Business Association CDC (LA21),900502551,2019,72583,73877,7094,7094,,,14350
Lancaster Avenue 21st Century Business Association CDC (LA21),900502551,2020,136845,130599,13340,13340,,,47430
Lancaster Avenue 21st Century Business Association CDC (LA21),900502551,2021,431487,418041,51538,26786,,,72754
Lancaster Avenue 21st Century Business Association CDC (LA21),900502551,2022,673342,597903,117142,102225,,,181659
Lancaster Avenue 21st Century Business Association CDC (LA21),900502551,2023,935900,928975,257617,109150,,,273603
Lower North Philadelphia CDC,823231994,2020,52494,30397,22097,,,,
Mission First Housing Group,455470563,2014,0,0,1,,,,
Mission First Housing Group,455470563,2015,311043,251566,160372,59477,,,0
Mission First Housing Group,455470563,2016,169909,499114,296065,-213690,,,0
Mission First Housing Group,455470563,2017,303170,500917,460641,-571659,,,0
Mission First Housing Group,455470563,2018,181039,491643,190594,-1150672,,,0
Mission First Housing Group,455470563,2019,235001,489110,70246,-1439981,,,0
Mission First Housing Group,455470563,2020,494275,719210,327057,-1637316,,,0
Mission First Housing Group,455470563,2021,182915,755328,146738,-2311582,,,0
Mission First Housing Group,455470563,2022,537554,521492,2338626,-1293551,,,0
Mission First Housing Group,455470563,2023,815573,1071379,3411196,-1224217,,,0
Mt. Airy CDC,222526396,2010,2957443,3163599,6759161,1061213,,,19904
Mt. Airy CDC,222526396,2011,521564,604110,2704579,1279187,,,56875
Mt. Airy CDC,222526396,2012,1544092,1333079,3054215,1490200,,,125586
Mt. Airy CDC,222526396,2013,2146441,901595,4325660,2271669,,,109007
Mt. Airy CDC,222526396,2014,1635558,1836917,5951149,1744245,,,111654
Mt. Airy CDC,222526396,2015,1430705,1399506,5234657,1002445,,,124558
Mt. Airy CDC,222526396,2016,1971985,1639586,5429040,1334844,,,126613
Mt. Airy CDC,222526396,2017,1523740,1956958,5137709,901626,,,130103
Mt. Airy CDC,222526396,2018,2555049,2276652,5585286,1180023,,,135206
Mt. Airy CDC,222526396,2019,1821302,2136371,4898653,864954,,,147906
Mt. Airy CDC,222526396,2020,1439051,1727637,4211074,576368,,,148141
Mt. Airy CDC,222526396,2021,2321869,1598466,5043818,1299771,,,161890
Mt. Airy CDC,222526396,2022,1347385,1970528,4418173,676628,,,67152
Mt. Airy CDC,222526396,2023,1649524,1772245,4862765,553907,,,140122
Mt. Vernon Manor CDC,256084074,2011,65749,61041,71600,,,,
Mt. Vernon Manor CDC,256084074,2012,43231,50070,64761,,,,
Mt. Vernon Manor CDC,256084074,2013,81358,48978,97141,,,,
Mt. Vernon Manor CDC,256084074,2015,71249,78818,110484,,,,
Mt. Vernon Manor CDC,256084074,2016,175518,125446,126886,,,,
Mt. Vernon Manor CDC,256084074,2017,181325,159899,148312,,,,
Mt. Vernon Manor CDC,256084074,2018,145962,176556,117718,,,,
Mt. Vernon Manor CDC,256084074,2019,188499,171503,161132,,,,
Mt. Vernon Manor CDC,256084074,2020,123300,96088,181609,,,,
Mt. Vernon Manor CDC,256084074,2021,216261,202016,176174,176174,,,0
Mt. Vernon Manor CDC,256084074,2022,376365,254219,298320,298320,,,0
Mt. Vernon Manor CDC,256084074,2023,285039,347433,235926,235926,,,0
New Kensington CDC,222610536,2011,2228490,1923737,3590197,2581429,,,95957
New Kensington CDC,222610536,2012,1913928,1845274,3376587,2650083,,,97964
New Kensington CDC,222610536,2013,2301460,2215905,3603250,2735638,,,101049
New Kensington CDC,222610536,2014,1911109,1805355,3901835,2841392,,,101565
New Kensington CDC,222610536,2015,2051644,2098951,5521014,2794085,,,104577
New Kensington CDC,222610536,2016,6702762,6235289,8191881,3261558,,,109774
New Kensington CDC,222610536,2017,8503812,8077816,6320112,3687554,,,262222
New Kensington CDC,222610536,2018,3144136,2504862,7019642,4326828,,,231086
New Kensington CDC,222610536,2019,3598146,2566936,8174018,5358038,,,225515
New Kensington CDC,222610536,2020,3754620,3094027,9320142,6018631,,,252852
New Kensington CDC,222610536,2021,4201453,3123114,10615828,7096970,,,205577
New Kensington CDC,222610536,2022,3789688,3922125,10732442,7266772,,,223154
New Kensington CDC,222610536,2023,3943941,4575064,10006839,6503212,,,0
Newbold CDC,542184458,2016,25279,28578,8773,,,,
Newbold CDC,542184458,2017,73655,46353,37185,,,,
Newbold CDC,542184458,2018,38108,31188,43687,,,,
Newbold CDC,542184458,2019,10765,33724,20077,,,,
Newbold CDC,542184458,2022,28689,15564,15294,,,,
Newbold CDC,542184458,2023,6708,16093,5637,,,,
NewCourtland,264194368,2009,0,0,10,,,,
NewCourtland,264194368,2010,0,0,10,,,,
NewCourtland,264194368,2011,0,0,0,,,,
NewCourtland,264194368,2012,0,0,10,,,,
NewCourtland,264194368,2013,0,0,10,,,,
NewCourtland,264194368,2014,0,0,10,,,,
NewCourtland,264194368,2015,0,0,1,,,,
NewCourtland,264194368,2016,59544,97016,3018037,-37472,,,0
NewCourtland,264194368,2017,142530,179659,6794822,-74599,,,0
NewCourtland,264194368,2018,115609,246227,9771490,-205218,,,0
NewCourtland,264194368,2019,132625,609598,10400628,-682190,,,0
NewCourtland,264194368,2020,235440,599109,10770077,-1045958,,,0
NewCourtland,264194368,2021,339008,712087,11106272,-1420438,,,0
NewCourtland,264194368,2022,371364,657399,13245988,-1706473,,,0
NewCourtland,264194368,2023,334557,861884,15515852,-2233800,,,0
Nicetown CDC,233061705,2011,1225099,1147092,578929,106967,,,99985
Nicetown CDC,233061705,2012,810392,661606,418626,255753,,,149063
Nicetown CDC,233061705,2013,763381,654607,567876,364527,,,124991
Nicetown CDC,233061705,2014,534565,519667,537743,379425,,,131473
Nicetown CDC,233061705,2015,622695,590405,694631,411715,,,124801
