org_name,person,served_raw,start_year,end_year,ongoing
ACHIEVEAbility,Jamila Harris-Morrison - Executive Director,2017-present,2017,,yes
African Cultural Alliance of North America (ACANA),"Voffee Jabateh -  Founder, Executive Director, Legal Department Head",1999-present (?),1999,,yes
African Cultural Alliance of North America (ACANA),"Dr. Nettie Johnson - Director of Health Services, Executive Director (?)",2017-present,2017,,yes
African Cultural Alliance of North America (ACANA),Betty Marshall - Board Chair,unknown-present,,,yes
African Cultural Alliance of North America (ACANA),Musa Trawally - Corridor Administrator,2016-present,2016,,yes
Arab-American CDC,Asif Hussein - President,current,,,yes
Asociación Puertorriqueños en Marcha (APM),Nilda I. Ruiz - President/CEO,2005-present,2005,,yes
Beech Interplex,"Dr. Kenneth Scott - President, CEO",~2006-present,2006,,yes
Beech Interplex,"Floyd W. Alston - Founder, CEO",1990-2005,1990,2005,
Called To Serve CDC,"Rev. Michael A. Major - Founder, Board President",2014-present,2014,,yes
Called To Serve CDC,Amelia Price - Corridor Manager,"2018, 2021, present",2018,,yes
Called To Serve CDC,Rev. Jeffrey Harley - Executive Director,"2018, 2022, currently not serving",2018,2022,
Catholic Housing and Community Services,Suzanne O'Grady Laurito - Director,present,,,yes
Centennial Parkside CDC,Jessi Ray Koch - Executive Director,~2023-present,2023,,yes
Centennial Parkside CDC,Chris Spahr - Executive Director,~2018-2022,2018,2022,
Chestnut Hill CDC,Martha Sharkey - Executive Director,2013-2017,2013,2017,
Chestnut Hill CDC,Philip Dawson - Executive Director,2017-~2020,2017,2020,
Chestnut Hill CDC,Courtney O'Neill - Executive Director,present,,,yes
Community of Compassion CDC,"W. Lonnie Herndon - President (Senior Pastor, Church of Christian Compassion)",~2001-present,2001,,yes
Community Ventures,Troy Hannigan - Executive Director,~2020-present,2020,,yes
Community Ventures,David La Fontaine - Executive Director,~2010-2010s,2010,2010,
East Falls Development Corporation,Catie Laxner - Executive Director,~2024-present,2024,,yes
East Falls Development Corporation,Michelle Feldman - Executive Director,~2018-2023,2018,2023,
East Falls Development Corporation,Meridith Johnson,2017-18,2017,2017,
East Falls Development Corporation,Kathleen Hogan,2017,2017,2017,
East Falls Development Corporation,Gina Snyder,2003-2017,2003,2017,
Empowered CDC,Xeyah T Martin - President & CEO / Principal Officer,present,,,yes
Esperanza,Reverend Luis Cortes Jr. - President & CEO,1986-present,1986,,yes
Frankford CDC,Kimberly Washington - Executive Director,present,,,yes
Germantown United CDC,Leo Dillinger IV - Executive Director,2024-present,2024,,yes
Germantown United CDC,Emaleigh Doley - Executive Director,2020-2024,2020,2024,
Germantown United CDC,Andy Trackman - Executive Director (inaugural),2012-~2020 (deceased),2012,2020,
Habitat for Humanity Philadelphia,Corinne O'Connell - Chief Executive Officer,present,,,yes
HACE,Maria N. Gonzalez - President & CEO,2013-present,2013,,yes
HELP Development Corporation,David Cleghorn- President,present,,,yes
Heritage CDC,Ruth I. Birchett - Founder / President,founder-present,,,yes
HMC Squared Community Association,Eloise Young - Officer,~2019,2019,2019,
HMC Squared Community Association,Martha Griffin - Officer,~2025,2025,2025,
HopePHL,Kathleen (Kathy) Desmond - President,2023-present (led predecessor PEC ~2016-2022),2016,,yes
HumanGood East,Dan Ogus - President,,,,
ICPIC New Africa Center CDC,Abdul-Rahim Muhammad - Founder & CEO / Founding Director,1991-present,1991,,yes
Impact Services Corporation,Casey O'Donnell - President & CEO,present,,,yes
Inglis Housing Corporation,Heidi Bohn - Executive Director,2023-present,2023,,yes
Korean Community Development Services Center,Don Yu - Executive Director / CEO,current,,,yes
Lancaster Avenue 21st Century Business Association CDC (LA21),Kwaku Boateng - President/CEO,present,,,yes
Lower North Philadelphia CDC,Darnetta Arce - Executive Director,present,,,yes
Mission First Housing Group,Thomas A. K. Queenan - Chief Executive Officer,2022-present,2022,,yes
Mt. Airy CDC,Philip Dawson - Executive Director,present,,,yes
Mt. Vernon Manor CDC,Michael Thorpe - Executive Director,2015-present,2015,,yes
New Kensington CDC,Sandy Salzman - Executive Director,1995-2016,1995,2016,
New Kensington CDC,Felix M. Torres-Colon - Executive Director,2017-2020,2017,2020,
New Kensington CDC,Dr. Bill McKinney - Executive Director,2020-present,2020,,yes
Newbold CDC,Timothy (Tim) Lidiak - President,~2010-present,2010,,yes
NewCourtland,Joseph (Joe) Duffey - President and CEO,current,,,yes
Nicetown CDC,Zakariyya Abdur-Rahman - President/CEO (Founder),1999-present,1999,,yes
Nicetown CDC,Majeedah Rashid - Chief Operating Officer,2003-present,2003,,yes
Northwest CLT Corporation,John Elliott Churchville - President,present,,,yes
Ogontz Ave Revitalization Corporation,Kimberly A. Lloyd - President & CEO,2014-present,2014,,yes
Ogontz Ave Revitalization Corporation,Zenobia Waridi - Founding President,1983 (founding officer),1983,1983,
Old City District,Job Itzkowitz - Executive Director,present,,,yes
Olney Community Collaborative,Stephanie Michel - Executive Director,~2020-present,2020,,yes
Overbrook West Neighbors CDC,Gregory Allen - Founder and President,2018-present,2018,,yes
Oxford Circle Christian Community Development Association (OCCCDA),Katie Gard - Interim Executive Director,present (interim),,,yes
Park to Broad Arts & Business District,Patrick Sherlock - Executive Director,current,,,yes
Passyunk Area Revitalization Corporation,Alex Balloon - Executive Director,present,,,yes
Passyunk Area Revitalization Corporation,Samuel Sherman Jr. - Executive Director,prior,,,
Philadelphia Chinatown Development Corporation,John Chin - Executive Director,2000-present,2000,,yes
Philadelphia Chinatown Development Corporation,Cecilia Moy Yep - Founder,"founder, 1966",1966,1966,
ProjectHOME,Donna Bullock - President & CEO,2024-present,2024,,yes
ProjectHOME,"Sister Mary Scullion, RSM - Co-Founder / Executive Director","1989-2024 (transition support through Dec 31, 2024)",1989,2024,
ProjectHOME,Joan Dawson McConnon - Co-Founder / Associate Executive Director,"1989-2024 (through July 31, 2024)",1989,2024,
SEAMAAC,Thoai Nguyen - Chief Executive Officer,present,,,yes
Sister Clara Muhammad CDC,Roger Powe - Executive Director,present,,,yes
