org_name,ein,title,source,url,date
African Cultural Alliance of North America,233062024,Why the Africatown Diaspora Festival is Changing Everything: Here’s What You Need To Know - Travel And Tour World,Travel And Tour World,https://news.google.com/rss/articles/CBMibkFVX3lxTE9ramh4YzFSZGtyVUtTZTdabnF3RUQ5eG93RnJCekZOWEV3QVFvLWtBLXpoZG1WMzlBVm1zUzh1NmZ3MGhuUE9OWldhc2FMQ1M1YmtZZ0t2V04xSHNDVGtUdE16ODJZZ0NmaHNhRlFR?oc=5,2026-06-29
African Cultural Alliance of North America,233062024,Africatown Diaspora Festival celebrates African and Caribbean cultures in Southwest Philadelphia - 6abc Philadelphia,6abc Philadelphia,https://news.google.com/rss/articles/CBMivgFBVV95cUxNeHBzWGk2MTZxa1psMXN6V2hyYktiekg1eWVTVk5YMFZDWUxvdGQwVHBTSlpPbGdKS0loRWVjeU5tblhXRHpnTE5FMFBBc09jWXptZGZpbTNzVHVCRzRSa3k3VnUtX1lZQ3Fqbl85dGxvY2FDT0RoVE5TMWZfR1hTd194dndUUDVEMG9xRGdqcXM3RnM4OU9pbmFmVmFlblVPWXRvd0tWLUJPR3kwZ3ZRQVJUNG84Z0g4LVg5eWNR0gHDAUFVX3lxTFBKVUV0cXlsZWp0Vmw3d3Bhc2xpMFk0bE5sblJZMWJndk1MbGYtbEgxNXZyVTVxUGo5SkMtQ0pXLXNNbVRmUEFBYzhSQzdDQ3B6VVY3bFFRdk5Md2c5cVJiVVNOTkUza3JFeW1aQ2h6Q3Q5M0xfZWxSSFBPNXNsQU52YTl2UnY5LWZTLVZPcG5QM09lTUxmc2gyS2RuYzBZenp1ZjlPOWpNQUN2cnBHMjhmWXhpVEJCMEtCWHlBNWJ0WWVkVQ?oc=5,2026-06-28
African Cultural Alliance of North America,233062024,Trump could undo Philly trade ties to Africa | Opinion - Inquirer.com,Inquirer.com,https://news.google.com/rss/articles/CBMilAFBVV95cUxPX3dlSkVDNXZqRmNRUE5lT21yQkJkVkwzOGlpLVV3akJROTJjWXd5RUU0TTRCa3lDRU1HM3otMzFVS3A3d2JqWnNxLXVxdHpydFZvNlRUOVZlTzRoc3QtVEVJRzlEaTcxWGRDVGxhVEdDZzd3WWZLaVc3SDZiX2xJMndNNmtqZnE4UnBRb3p2Y2c0MUxz?oc=5,2026-06-25
African Cultural Alliance of North America,233062024,"‘If you look at Africatown now, it looks like the City of Philadelphia’: Inside the Southwest cultural hub - Billy Penn at WHYY",Billy Penn at WHYY,https://news.google.com/rss/articles/CBMihAFBVV95cUxNVDlHcTVIa1Z6UFkxOU5uRTIyT1VXTElTVDdVbnp3LS1hSE5NNFptVkxRUEIycVJ0SXlsZVNFLThhQU1zVFBsUU0tZDNZaG0xZEI5WERtMGJ3QTJ1OHl4Vk45Nk40SjBZTWF2bXpaNXdLSGRxcEdZTWNBc0lHUTJVMkszQnk?oc=5,2026-06-19
African Cultural Alliance of North America,233062024,"The past, present, and future of the ODUNDE festival - Broad Street Review",Broad Street Review,https://news.google.com/rss/articles/CBMimAFBVV95cUxPbXdhbUQwSmdTRjQyTktUaUxUSGZPUE9GT2pDNFhTNkt1T3NrZ29Vak9KZkxjdEVfQTN0Z3hjbnFkV3dfOWFMNzRXTXlNSmhfOGp4WEVjdzRSdkRlMVR5M3FmS0liVWR6Tk1zaTdhNmJzZ1dJVmVHY20xOTAyWW8zMmpYaDAxX19uQ1duMGN2RnJOYXFaOWczRw?oc=5,2026-06-07
African Cultural Alliance of North America,233062024,Philadelphia opens Immigrant Heritage Month with 250 years of stories - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMiggFBVV95cUxQMURkUmo4VERfM2U1RkNLdXE4Y2hiMUFFUS1WelFhcWRGTEFIVUxUSVN5WlhPM1VFUGpudkVLV05OZ3M4aGZPVHh6VjFjb1NtVi1kM3FvNDlBRWdGakZNTjMtNWpoOE9HNHVXbGhsWnpRTlFaenVsbFVtTW1oQlY2QUF30gGCAUFVX3lxTFAxRGRSajhURF8zZTVGQ0t1cThjaGIxQUVRLVZ6UWFxZEZMQUhVTFRJU3laWE8zVUVQam52RUtXTk5nczhoZk9UeHpWMWNvU21WLWQzcW80OUFFZ0ZqRk1OMy01amg4T0c0dVdsaGxaelFOUVp6dWxsVW1NbWhCVjZBQXc?oc=5,2026-06-07
African Cultural Alliance of North America,233062024,African and diaspora nations converge in Philadelphia for FIFA World Cup 2026 - The Philadelphia Tribune,The Philadelphia Tribune,https://news.google.com/rss/articles/CBMi7gFBVV95cUxNb3RNdXl6Z1ZhS2MwSDMyUzNQZGtUMHNfWXJxZmRZNVVhOFpDT0J2bzlWTVZ2bjE3ZGkxUnF1UnFzLUVZTGRObnJSd0hhSHVRRmFpc0poTnc3eWxmZlBkUmVCelVXdUZ3aUE4STFhV1BhVXZCSm5IdUNSN3M4eDNjVlBjTXBvdUVaODU3YUYwZkZVRG1lbDF2ZmphTEdKdkdNbXdXdi1rTU55Zk45aFJuRVRSZzVyQ3FtQ1AwVFpxVHdCem90Y2ZnRHB1eGc3cTB4WV9mSWgyVmtTNkdRejlMMWVscDNIMFMySXpPRFdn?oc=5,2026-06-05
African Cultural Alliance of North America,233062024,Africatown Signage Reveiled - swglobetimes.com,swglobetimes.com,https://news.google.com/rss/articles/CBMibkFVX3lxTE5QcnJ0V2dNSU81Rlp2RHpDMS1KcDJZZnNma3lKeHRsRHlzTmJoczRvdUR2WmVCYnpPYXNlOFNLN1oyLXZ1cTFBWHZBUXlIRkJ5aXlIaXp3c1RubjlRZkJjZTJtSUxrNFJ6SUlLQTNB?oc=5,2026-06-05
Arab-American CDC,311620684,Philly pizza shop owner loses land but not livelihood to eminent domain - WHYY,WHYY,https://news.google.com/rss/articles/CBMinwFBVV95cUxQWnp5SUpMSExGRGNXLWFIUzRKYnBHR0tycmE3NFV2eGZZTXFLNjBieGZ3bGhqQVJFNGgwcnBPRTRxQnV3T3ZiZE1RUl96dlkyVVlDNGwyMlBfeUhTTlRpU3JqSFZWSk4yZHFsb0lhM2ZkbDhfV1RhUm83b3FjMkM5RXVZTHZ6WEJnWlVRcHlsbms1VVRoTk1YUF9icmJsRGc?oc=5,2014-04-24
Arab-American CDC,311620684,Eminent Domain Battle Heats Up in Kensington - NBC10 Philadelphia,NBC10 Philadelphia,https://news.google.com/rss/articles/CBMingFBVV95cUxOazRVdE4wTzItYXRDVjc2WE1YQklOUzc1NjE2dlh0VlVrZXdYZnU1RlY2dkQzWEpsemdJN0Q4NGx4RzFXUHc3VFQwakxsejg2c09uNDdYbi1PQWdnMXc0em9fLXQwUHVwdUoxQVJ3cUpuNUtDbTZyR1BsMklHMHpyYlFnUkZ6eFpRSUkxSDNfXzBUVlowOFBLWG84eGxqd9IBpgFBVV95cUxNZnRJTFRYSWZfWnlNM3JhRU5zZkduNjc5Rm94LWNnUVhTQjh1dmF3NEkyTFNNcm51alZxYTVCSzFwTVNLV25YU1VTcmFWeWFvTEZlQ29kZWhYc3c1ZExwaVFveGJCaWlwLUZmZzQ5ZWtSOWxvM0N1SzJ5cGtkSEI1amZWMy1ZR1pFMWJONndVYWFyNUxPVHRDSzRaZmNpcUpScUpYdl93?oc=5,2013-07-03
Asociación Puertorriqueños en Marcha (APM),231930630,Resource guide for the Latino community in Philadelphia - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMitAFBVV95cUxOa0J2U1o5WDdXVF9OWk5vcTd4cW9WM2ZwSl91Y3pKWlNocW1RRU1oRU9RWWJhazQ4MTJycmozSXIzWWlKU1ktaldJNTYzb2VEWUFmVTNlNG1tTGVKX3pYbk1DelhQSkw3bUw5US1jM0stT0JveTIxNmFsSHVkcEFLVUlUc3RaT1NYZGhGTjVsQklDb2d0UlRRT05hd0dKTUlSYXhkbFVDVWdwOUJYMVZRd25CZV_SAbQBQVVfeXFMTmtCdlNaOVg3V1RfTlpOb3E3eHFvVjNmcEpfdWN6SlpTaHFtUUVNaEVPUVliYWs0ODEycnJqM0lyM1lpSlNZLWpXSTU2M29lRFlBZlUzZTRtbUxlSl96WG5NQ3pYUEpMN21MOVEtYzNLLU9Cb3kyMTZhbEh1ZHBBS1VJVHN0Wk9TWGRoRk41bEJJQ29ndFJUUU9OYXdHSk1JUmF4ZGxVQ1VncDlCWDFWUXduQmVf?oc=5,2026-07-03
Asociación Puertorriqueños en Marcha (APM),231930630,Sugar Cane Festival honors Puerto Rican roots in Philadelphia - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMinwFBVV95cUxNejVoanROaVJsRW9fdUNiaDdpc2VMblBsekIxRkZjakNhQWdJR09rWVNuVTFZUmJUWUxZOUdFejFfZzh5Y29vVlVwaEJyb2xEVnNCLVR3R1UxUDY1YzBiZFNGY2ZUSTJSN2RqVzV3cjZGSC15VF9hd0RKSU5Yc1FxVUY3ZngwY1hTcnYtN3VxMjBWR2tGNE5wdDRDckplMEnSAZ8BQVVfeXFMTXo1aGp0TmlSbEVvX3VDYmg3aXNlTG5QbHpCMUZGY2pDYUFnSUdPa1lTblUxWVJiVFlMWTlHRXoxX2c4eWNvb1ZVcGhCcm9sRFZzQi1Ud0dVMVA2NWMwYmRTRmNmVEkyUjdkalc1d3I2RkgteVRfYXdESklOWHNRcVVGN2Z4MGNYU3J2LTd1cTIwVkdrRjROcHQ0Q3JKZTBJ?oc=5,2026-06-12
Asociación Puertorriqueños en Marcha (APM),231930630,Jennifer Rodríguez: Latino leadership and economic development in Philadelphia - Impacto Media,Impacto Media,https://news.google.com/rss/articles/CBMitAFBVV95cUxOaXN0OVlSSmZkV1ZfUUM1V0piN0hlaWhoaVZSM1V5dEdhbU9mb3VWU0xBNEYzeVZvaHpCNlY0a0dsd2dRV0xsQXBzUDBnZk9UaGprb3lYSFV2eTFkTFpxS3JhX1lEd1ZkTkpZUnRsNjhLRWd0MVhBenhQM3QtYjd0VF9hbnRKWklyOS1GSTFsNklIakVjanlaeVJpZmVNdVlRTXIxaW9Sb3F2cVp0QkhlLUJWOHrSAbQBQVVfeXFMTmlzdDlZUkpmZFdWX1FDNVdKYjdIZWloaGlWUjNVeXRHYW1PZm91VlNMQTRGM3lWb2h6QjZWNGtHbHdnUVdMbEFwc1AwZ2ZPVGhqa295WEhVdnkxZExacUtyYV9ZRHdWZE5KWVJ0bDY4S0VndDFYQXp4UDN0LWI3dFRfYW50SlpJcjktRkkxbDZJSGpFY2p5WnlSaWZlTXVZUU1yMWlvUm9xdnFadEJIZS1CVjh6?oc=5,2026-03-14
Asociación Puertorriqueños en Marcha (APM),231930630,Presente on the Parkway: Photos from Philadelphia’s 2025 Puerto Rican Day Parade - Billy Penn at WHYY,Billy Penn at WHYY,https://news.google.com/rss/articles/CBMisgFBVV95cUxOZVJmRVA5aS1rckZEYlRzTzVpbTNod3JiN1Z4M09tM1NqNmZ1a2RFQWJTaEY0YTB0ZGFtd3RENmYwRzNaY2tNNDBjTkxZR2FOLUhtbElvYjJRUzc1Z0lNVlZoUkFkdG9uNTl1YXkwbnhrdjNDN0NKeXF1Ui1OQzM2X2lxOUE5SzdoczR4WHR3WlRodGdNRmFSb051NGYxU2xUSWdtMDFqQjJaSEZIdnU0V19R?oc=5,2025-09-29
Asociación Puertorriqueños en Marcha (APM),231930630,"“We have the poner. We just need to exercise it, together.” Nilda Ruiz - Impacto Media",Impacto Media,https://news.google.com/rss/articles/CBMipAFBVV95cUxOM3NXXzhGaWNKMFdjNlE5UnI2TmVVVjdEQ0hnd1h0dlExNEJONEFKczZRUVFvdHFaTFVPOUFObVo0TjRSRFJQYXEzdVYxSWhtcWdrMHplUHRIdE96TGhob3BuOEtnZkZIYjV4LXNiMHprWTA0UW80bFFPSW4tTWVnekRiLXk2UTFzTTRnR20zYlpJUHlXVU93VE8wZ0tPRER5S2xnU9IBpAFBVV95cUxOM3NXXzhGaWNKMFdjNlE5UnI2TmVVVjdEQ0hnd1h0dlExNEJONEFKczZRUVFvdHFaTFVPOUFObVo0TjRSRFJQYXEzdVYxSWhtcWdrMHplUHRIdE96TGhob3BuOEtnZkZIYjV4LXNiMHprWTA0UW80bFFPSW4tTWVnekRiLXk2UTFzTTRnR20zYlpJUHlXVU93VE8wZ0tPRER5S2xnUw?oc=5,2025-09-12
