report_year,org_name,start_year,amount
2015,ACHIEVEability,2012,85000
2015,"Asociaciόn Puertorriqueños En Marcha, Inc",2015,100000
2015,"Beech Interplex, Inc.",2013,85000
2015,Central Philadelphia Development Corporation,2012,85000
2015,Chestnut Hill Community Development Corporation,2013,85000
2015,"Common Market Philadelphia, Inc., HFI",2013,85000
2015,"Community Design Collaborative, NPI",2012,85000
2015,Delaware River City Corporation (Frmly Delaware Riverfront Renaissance Corp.),2010,100000
2015,Delaware River Waterfront Corporation,2013,85000
2015,East Falls Development Corporation,2012,85000
2015,East Passyunk Avenue Improvement District,2013,85000
2015,Fairmount Community Development Corporation,2014,85000
2015,Francisville Neighborhood Development Corporation,2015,100000
2015,Frankford Community Development Corporation,2012,85000
2015,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2015,Impact Services Corporation,2012,85000
2015,Manayunk Development Corporation,2010,100000
2015,Mayfair Community Development Corporation,2013,85000
2015,Mt. Airy U.S.A.,2013,85000
2015,New Kensington Community Development Corporation,2012,85000
2015,Nicetown Community Development Corporation,2009,100000
2015,"Nueva Esperanza, Inc.",2013,85000
2015,Ogontz Ave Revitalization Corporation,2009,100000
2015,People’s Emergency Center CDC,2012,85000
2015,"Philabundance, HFI",2013,85000
2015,"Philadelphia Association of Community Development Corporations, NPI",2012,85000
2015,Philadelphia Chinatown Development Corporation,2014,85000
2015,"Philadelphia Local Initiatives Support Corporation, NPI",2012,85000
2015,Project H.O.M.E.,2013,85000
2015,Regional Housing Legal Services-NPI,2014,85000
2015,Roxborough Development Corporation,2012,85000
2015,Schuylkill River Development Corporation (SRDC),2014,85000
2015,South of South Neighborhood Association,2015,100000
2015,Southwest Community Development Corporation,2012,85000
2015,Spring Garden Community Development Corporation,2013,85000
2015,Tacony Community Development Corporation,2014,85000
2015,The Allegheny West Foundation,2012,85000
2015,The Enterprise Center Community Development Corporation,2009,100000
2015,The Partnership Community Development Corporation,2013,85000
2015,The Village of Arts and Humanities,2013,85000
2015,University City District,2015,100000
2015,Wynnefield Overbrook Revitalization Corp.,2010,100000
2016,ACHIEVEability,2012,85000
2016,Asociación Puertorriqueños En Marcha Inc,2015,100000
2016,Beech Interplex Inc.,2013,85000
2016,Central Philadelphia Development Corporation,2012,85000
2016,Chestnut Hill Community Development Corporation,2013,85000
2016,Common Market Philadelphia Inc.,2013,85000
2016,Community Design Collaborative,2012,85000
2016,Delaware River City Corporation (Frmly Delaware Riverfront Renaissance Corp.),2010,100000
2016,Delaware River Waterfront Corporation,2013,85000
2016,East Falls Development Corporation,2012,85000
2016,East Passyunk Avenue Improvement District,2013,85000
2016,Fairmount Community Development Corporation,2014,85000
2016,Francisville Neighborhood Development Corporation,2015,100000
2016,Frankford Community Development Corporation,2012,85000
2016,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2016,Impact Services Corporation,2012,85000
2016,Manayunk Development Corporation,2010,100000
2016,Mayfair Community Development Corporation,2013,85000
2016,Mt. Airy U.S.A.,2013,85000
2016,New Kensington Community Development Corporation,2012,85000
2016,Nicetown Community Development Corporation,2009,100000
2016,Nueva Esperanza Inc.,2013,85000
2016,Ogontz Ave Revitalization Corporation,2009,100000
2016,People's Emergency Center CDC,2012,85000
2016,Philabundance,2013,85000
2016,Philadelphia Association of Community Development Corporations,2012,85000
2016,Philadelphia Chinatown Development Corporation,2014,85000
2016,Philadelphia Local Initiatives Support Corporation,2012,85000
2016,Project H.O.M.E.,2013,85000
2016,Regional Housing Legal Services,2014,85000
2016,Roxborough Development Corporation,2012,85000
2016,Schuylkill River Development Corporation,2014,85000
2016,South of South Neighborhood Association,2015,100000
2016,Southwest Community Development Corporation,2012,85000
2016,Spring Garden Community Development Corporation,2013,85000
2016,Tacony Community Development Corporation,2014,85000
2016,The Allegheny West Foundation,2012,85000
2016,The Enterprise Center Community Development Corporation,2009,100000
2016,The Partnership Community Development Corporation,2013,85000
2016,The Village of Arts and Humanities,2013,85000
2016,University City District,2015,100000
2016,Wynnefield Overbrook Revitalization Corp.,2010,100000
2017,ACHIEVEability,2012,85000
2017,Asociación Puertorriqueños En Marcha Inc,2015,100000
2017,Beech Interplex Inc.,2013,85000
2017,Central Philadelphia Development Corporation,2012,85000
2017,Chestnut Hill Community Development Corporation,2013,85000
2017,Common Market Philadelphia Inc.,2013,85000
2017,Community Design Collaborative,2012,85000
2017,Delaware River City Corporation,2017,100000
2017,Delaware River Waterfront Corporation,2013,85000
2017,East Falls Development Corporation,2012,85000
2017,East Passyunk Avenue Improvement District,2013,85000
2017,Fairmount Community Development Corporation,2014,85000
2017,Francisville Neighborhood Development Corporation,2015,100000
2017,Frankford Community Development Corporation,2012,85000
2017,HACE aka Hispanic Assoc. of Contractors & Enterprises,2013,85000
2017,Impact Services Corporation,2012,85000
2017,Manayunk Development Corporation,2010,100000
2017,Mayfair Community Development Corporation,2013,85000
2017,Mt. Airy U.S.A.,2013,85000
2017,New Kensington Community Development Corporation,2012,85000
2017,Nicetown Community Development Corporation,2009,100000
2017,Nueva Esperanza Inc.,2013,85000
2017,Ogontz Ave Revitalization Corporation,2009,100000
2017,Old City Community Fund,2017,100000
2017,People's Emergency Center CDC,2012,85000
2017,Philabundance,2013,85000
